date,nuclear energy
2016-06-08,52
2016-06-09,51
2016-06-10,38
2016-06-11,35
2016-06-12,26
2016-06-13,39
2016-06-14,43
2016-06-15,32
2016-06-16,35
2016-06-17,39
2016-06-18,29
2016-06-19,29
2016-06-20,41
2016-06-21,34
2016-06-22,42
2016-06-23,29
2016-06-24,16
2016-06-25,16
2016-06-26,27
2016-06-27,26
2016-06-28,32
2016-06-29,17
2016-06-30,17
2016-07-01,22
2016-07-02,16
2016-07-03,25
2016-07-04,30
2016-07-05,44
2016-07-06,24
2016-07-07,34
2016-07-08,23
2016-07-09,19
2016-07-10,30
2016-07-11,30
2016-07-12,26
2016-07-13,24
2016-07-14,27
2016-07-15,23
2016-07-16,23
2016-07-17,12
2016-07-18,22
2016-07-19,18
2016-07-20,36
2016-07-21,28
2016-07-22,21
2016-07-23,19
2016-07-24,9
2016-07-25,36
2016-07-26,27
2016-07-27,20
2016-07-28,34
2016-07-29,23
2016-07-30,16
2016-07-31,28
2016-08-01,26
2016-08-02,31
2016-08-03,36
2016-08-04,28
2016-08-05,32
2016-08-06,20
2016-08-07,19
2016-08-08,36
2016-08-09,41
2016-08-10,25
2016-08-11,27
2016-08-12,22
2016-08-13,12
2016-08-14,36
2016-08-15,22
2016-08-16,15
2016-08-17,29
2016-08-18,21
2016-08-19,9
2016-08-20,10
2016-08-21,31
2016-08-22,29
2016-08-23,31
2016-08-24,44
2016-08-25,38
2016-08-26,31
2016-08-27,11
2016-08-28,25
2016-08-29,27
2016-08-30,39
2016-08-31,43
2016-09-01,28
2016-09-02,27
2016-09-03,22
2016-09-04,19
2016-09-05,23
2016-09-06,39
2016-09-07,37
2016-09-08,60
2016-09-09,45
2016-09-10,13
2016-09-11,43
2016-09-12,47
2016-09-13,52
2016-09-14,45
2016-09-15,45
2016-09-16,50
2016-09-17,38
2016-09-18,21
2016-09-19,56
2016-09-20,59
2016-09-21,54
2016-09-22,54
2016-09-23,54
2016-09-24,6
2016-09-25,48
2016-09-26,32
2016-09-27,40
2016-09-28,46
2016-09-29,74
2016-09-30,38
2016-10-01,17
2016-10-02,30
2016-10-03,51
2016-10-04,56
2016-10-05,59
2016-10-06,63
2016-10-07,47
2016-10-08,48
2016-10-09,29
2016-10-10,59
2016-10-11,43
2016-10-12,96
2016-10-13,63
2016-10-14,68
2016-10-15,29
2016-10-16,39
2016-10-17,80
2016-10-18,54
2016-10-19,49
2016-10-20,61
2016-10-21,56
2016-10-22,15
2016-10-23,54
2016-10-24,62
2016-10-25,59
2016-10-26,65
2016-10-27,71
2016-10-28,51
2016-10-29,25
2016-10-30,38
2016-10-31,50
2016-11-01,76
2016-11-02,80
2016-11-03,61
2016-11-04,53
2016-11-05,23
2016-11-06,44
2016-11-07,62
2016-11-08,61
2016-11-09,85
2016-11-10,78
2016-11-11,43
2016-11-12,31
2016-11-13,38
2016-11-14,71
2016-11-15,68
2016-11-16,75
2016-11-17,74
2016-11-18,65
2016-11-19,28
2016-11-20,56
2016-11-21,59
2016-11-22,63
2016-11-23,53
2016-11-24,41
2016-11-25,24
2016-11-26,28
2016-11-27,45
2016-11-28,84
2016-11-29,89
2016-11-30,94
2016-12-01,87
2016-12-02,52
2016-12-03,23
2016-12-04,56
2016-12-05,84
2016-12-06,71
2016-12-07,87
2016-12-08,59
2016-12-09,59
2016-12-10,30
2016-12-11,34
2016-12-12,74
2016-12-13,76
2016-12-14,79
2016-12-15,79
2016-12-16,48
2016-12-17,20
2016-12-18,26
2016-12-19,46
2016-12-20,47
2016-12-21,35
2016-12-22,37
2016-12-23,39
2016-12-24,15
2016-12-25,20
2016-12-26,12
2016-12-27,11
2016-12-28,39
2016-12-29,17
2016-12-30,14
2016-12-31,28
2017-01-01,15
2017-01-02,26
2017-01-03,32
2017-01-04,47
2017-01-05,51
2017-01-06,53
2017-01-07,25
2017-01-08,17
2017-01-09,52
2017-01-10,60
2017-01-11,56
2017-01-12,68
2017-01-13,61
2017-01-14,13
2017-01-15,28
2017-01-16,35
2017-01-17,46
2017-01-18,68
2017-01-19,100
2017-01-20,84
2017-01-21,44
2017-01-22,53
2017-01-23,91
2017-01-24,51
2017-01-25,60
2017-01-26,64
2017-01-27,50
2017-01-28,12
2017-01-29,32
2017-01-30,46
2017-01-31,57
2017-02-01,65
2017-02-02,50
2017-02-03,58
2017-02-04,31
2017-02-05,33
2017-02-06,57
2017-02-07,53
2017-02-08,59
2017-02-09,55
2017-02-10,53
2017-02-11,30
2017-02-12,37
2017-02-13,47
2017-02-14,60
2017-02-15,73
2017-02-16,51
2017-02-17,51
2017-02-18,40
2017-02-19,21
2017-02-20,44
2017-02-21,46
2017-02-22,62
2017-02-23,76
2017-02-24,79
2017-02-25,30
2017-02-26,43
2017-02-27,75
2017-02-28,79
2017-03-01,57
2017-03-02,55
2017-03-03,64
2017-03-04,22
2017-03-05,38
2017-03-06,85
2017-03-07,71
2017-03-08,68
2017-03-09,73
2017-03-10,61
2017-03-11,17
2017-03-12,37
2017-03-13,55
2017-03-14,84
2017-03-15,61
2017-03-16,86
2017-03-17,55
2017-03-18,23
2017-03-19,35
2017-03-20,68
2017-03-21,70
2017-03-22,65
2017-03-23,74
2017-03-24,46
2017-03-25,15
2017-03-26,27
2017-03-27,54
2017-03-28,85
2017-03-29,76
2017-03-30,57
2017-03-31,52
2017-04-01,27
2017-04-02,29
2017-04-03,57
2017-04-04,69
2017-04-05,58
2017-04-06,78
2017-04-07,53
2017-04-08,23
2017-04-09,42
2017-04-10,53
2017-04-11,71
2017-04-12,79
2017-04-13,46
2017-04-14,45
2017-04-15,20
2017-04-16,35
2017-04-17,75
2017-04-18,57
2017-04-19,58
2017-04-20,64
2017-04-21,67
2017-04-22,28
2017-04-23,35
2017-04-24,69
2017-04-25,80
2017-04-26,57
2017-04-27,70
2017-04-28,70
2017-04-29,30
2017-04-30,58
2017-05-01,86
2017-05-02,59
2017-05-03,100
2017-05-04,76
2017-05-05,51
2017-05-06,22
2017-05-07,37
2017-05-08,58
2017-05-09,80
2017-05-10,60
2017-05-11,64
2017-05-12,81
2017-05-13,10
2017-05-14,31
2017-05-15,75
2017-05-16,71
2017-05-17,69
2017-05-18,62
2017-05-19,55
2017-05-20,15
2017-05-21,27
2017-05-22,75
2017-05-23,59
2017-05-24,65
2017-05-25,52
2017-05-26,36
2017-05-27,21
2017-05-28,21
2017-05-29,28
2017-05-30,40
2017-05-31,55
2017-06-01,60
2017-06-02,47
2017-06-03,51
2017-06-04,47
2017-06-05,51
2017-06-06,45
2017-06-07,37
2017-06-08,40
2017-06-09,31
2017-06-10,15
2017-06-11,18
2017-06-12,31
2017-06-13,38
2017-06-14,28
2017-06-15,23
2017-06-16,13
2017-06-17,17
2017-06-18,9
2017-06-19,20
2017-06-20,23
2017-06-21,27
2017-06-22,21
2017-06-23,16
2017-06-24,20
2017-06-25,15
2017-06-26,26
2017-06-27,19
2017-06-28,18
2017-06-29,21
2017-06-30,12
2017-07-01,9
2017-07-02,21
2017-07-03,20
2017-07-04,16
2017-07-05,25
2017-07-06,15
2017-07-07,7
2017-07-08,11
2017-07-09,15
2017-07-10,21
2017-07-11,20
2017-07-12,11
2017-07-13,21
2017-07-14,20
2017-07-15,4
2017-07-16,17
2017-07-17,32
2017-07-18,22
2017-07-19,13
2017-07-20,21
2017-07-21,17
2017-07-22,11
2017-07-23,31
2017-07-24,16
2017-07-25,24
2017-07-26,22
2017-07-27,16
2017-07-28,15
2017-07-29,11
2017-07-30,19
2017-07-31,22
2017-08-01,14
2017-08-02,30
2017-08-03,18
2017-08-04,10
2017-08-05,15
2017-08-06,15
2017-08-07,20
2017-08-08,30
2017-08-09,29
2017-08-10,17
2017-08-11,11
2017-08-12,16
2017-08-13,14
2017-08-14,30
2017-08-15,37
2017-08-16,17
2017-08-17,16
2017-08-18,17
2017-08-19,5
2017-08-20,23
2017-08-21,31
2017-08-22,31
2017-08-23,37
2017-08-24,22
2017-08-25,20
2017-08-26,16
2017-08-27,25
2017-08-28,25
2017-08-29,30
2017-08-30,26
2017-08-31,23
2017-09-01,23
2017-09-02,11
2017-09-03,14
2017-09-04,22
2017-09-05,29
2017-09-06,44
2017-09-07,45
2017-09-08,30
2017-09-09,17
2017-09-10,36
2017-09-11,39
2017-09-12,42
2017-09-13,40
2017-09-14,47
2017-09-15,36
2017-09-16,26
2017-09-17,15
2017-09-18,45
2017-09-19,33
2017-09-20,50
2017-09-21,41
2017-09-22,51
2017-09-23,17
2017-09-24,31
2017-09-25,33
2017-09-26,53
2017-09-27,48
2017-09-28,54
2017-09-29,55
2017-09-30,21
2017-10-01,19
2017-10-02,37
2017-10-03,56
2017-10-04,66
2017-10-05,49
2017-10-06,26
2017-10-07,24
2017-10-08,33
2017-10-09,36
2017-10-10,38
2017-10-11,39
2017-10-12,40
2017-10-13,39
2017-10-14,28
2017-10-15,24
2017-10-16,43
2017-10-17,40
2017-10-18,65
2017-10-19,66
2017-10-20,46
2017-10-21,5
2017-10-22,17
2017-10-23,70
2017-10-24,62
2017-10-25,50
2017-10-26,71
2017-10-27,58
2017-10-28,28
2017-10-29,28
2017-10-30,55
2017-10-31,50
2017-11-01,55
2017-11-02,51
2017-11-03,66
2017-11-04,37
2017-11-05,31
2017-11-06,58
2017-11-07,65
2017-11-08,78
2017-11-09,85
2017-11-10,62
2017-11-11,20
2017-11-12,36
2017-11-13,78
2017-11-14,69
2017-11-15,77
2017-11-16,74
2017-11-17,50
2017-11-18,15
2017-11-19,38
2017-11-20,65
2017-11-21,51
2017-11-22,37
2017-11-23,27
2017-11-24,29
2017-11-25,20
2017-11-26,36
2017-11-27,58
2017-11-28,51
2017-11-29,61
2017-11-30,57
2017-12-01,76
2017-12-02,23
2017-12-03,31
2017-12-04,67
2017-12-05,70
2017-12-06,68
2017-12-07,53
2017-12-08,56
2017-12-09,27
2017-12-10,41
2017-12-11,67
2017-12-12,75
2017-12-13,55
2017-12-14,56
2017-12-15,68
2017-12-16,15
2017-12-17,27
2017-12-18,41
2017-12-19,43
2017-12-20,35
2017-12-21,31
2017-12-22,23
2017-12-23,12
2017-12-24,13
2017-12-25,9
2017-12-26,23
2017-12-27,16
2017-12-28,9
2017-12-29,11
2017-12-30,19
2017-12-31,7
2018-01-01,24
2018-01-02,26
2018-01-03,39
2018-01-04,34
2018-01-05,35
2018-01-06,14
2018-01-07,32
2018-01-08,49
2018-01-09,67
2018-01-10,87
2018-01-11,87
2018-01-12,58
2018-01-13,30
2018-01-14,24
2018-01-15,47
2018-01-16,70
2018-01-17,55
2018-01-18,61
2018-01-19,51
2018-01-20,24
2018-01-21,24
2018-01-22,57
2018-01-23,61
2018-01-24,76
2018-01-25,66
2018-01-26,53
2018-01-27,20
2018-01-28,30
2018-01-29,58
2018-01-30,77
2018-01-31,70
2018-02-01,71
2018-02-02,92
2018-02-03,32
2018-02-04,35
2018-02-05,70
2018-02-06,67
2018-02-07,74
2018-02-08,57
2018-02-09,63
2018-02-10,28
2018-02-11,48
2018-02-12,60
2018-02-13,75
2018-02-14,67
2018-02-15,79
2018-02-16,59
2018-02-17,26
2018-02-18,54
2018-02-19,34
2018-02-20,85
2018-02-21,70
2018-02-22,75
2018-02-23,58
2018-02-24,43
2018-02-25,31
2018-02-26,71
2018-02-27,78
2018-02-28,77
2018-03-01,81
2018-03-02,67
2018-03-03,29
2018-03-04,27
2018-03-05,59
2018-03-06,69
2018-03-07,66
2018-03-08,67
2018-03-09,49
2018-03-10,24
2018-03-11,43
2018-03-12,71
2018-03-13,76
2018-03-14,77
2018-03-15,76
2018-03-16,65
2018-03-17,16
2018-03-18,19
2018-03-19,67
2018-03-20,68
2018-03-21,66
2018-03-22,84
2018-03-23,71
2018-03-24,14
2018-03-25,26
2018-03-26,54
2018-03-27,65
2018-03-28,55
2018-03-29,65
2018-03-30,35
2018-03-31,20
2018-04-01,18
2018-04-02,46
2018-04-03,46
2018-04-04,43
2018-04-05,63
2018-04-06,53
2018-04-07,32
2018-04-08,24
2018-04-09,65
2018-04-10,77
2018-04-11,58
2018-04-12,92
2018-04-13,61
2018-04-14,26
2018-04-15,33
2018-04-16,81
2018-04-17,86
2018-04-18,68
2018-04-19,98
2018-04-20,78
2018-04-21,27
2018-04-22,40
2018-04-23,70
2018-04-24,69
2018-04-25,81
2018-04-26,64
2018-04-27,77
2018-04-28,32
2018-04-29,42
2018-04-30,74
2018-05-01,93
2018-05-02,76
2018-05-03,79
2018-05-04,85
2018-05-05,49
2018-05-06,38
2018-05-07,88
2018-05-08,100
2018-05-09,94
2018-05-10,73
2018-05-11,80
2018-05-12,22
2018-05-13,28
2018-05-14,66
2018-05-15,65
2018-05-16,93
2018-05-17,81
2018-05-18,73
2018-05-19,24
2018-05-20,31
2018-05-21,61
2018-05-22,82
2018-05-23,68
2018-05-24,65
2018-05-25,46
2018-05-26,21
2018-05-27,12
2018-05-28,42
2018-05-29,83
2018-05-30,44
2018-05-31,41
2018-06-01,44
2018-06-02,23
2018-06-03,20
2018-06-04,59
2018-06-05,59
2018-06-06,43
2018-06-07,36
2018-06-08,27
2018-06-09,14
2018-06-10,33
2018-06-11,47
2018-06-12,43
2018-06-13,37
2018-06-14,41
2018-06-15,33
2018-06-16,20
2018-06-17,22
2018-06-18,15
2018-06-19,17
2018-06-20,40
2018-06-21,33
2018-06-22,14
2018-06-23,22
2018-06-24,26
2018-06-25,24
2018-06-26,14
2018-06-27,29
2018-06-28,26
2018-06-29,30
2018-06-30,12
2018-07-01,12
2018-07-02,38
2018-07-03,26
2018-07-04,14
2018-07-05,18
2018-07-06,26
2018-07-07,14
2018-07-08,20
2018-07-09,19
2018-07-10,15
2018-07-11,16
2018-07-12,23
2018-07-13,26
2018-07-14,10
2018-07-15,18
2018-07-16,23
2018-07-17,26
2018-07-18,30
2018-07-19,25
2018-07-20,22
2018-07-21,10
2018-07-22,21
2018-07-23,26
2018-07-24,21
2018-07-25,30
2018-07-26,28
2018-07-27,18
2018-07-28,28
2018-07-29,24
2018-07-30,30
2018-07-31,26
2018-08-01,26
2018-08-02,27
2018-08-03,16
2018-08-04,20
2018-08-05,18
2018-08-06,14
2018-08-07,34
2018-08-08,17
2018-08-09,24
2018-08-10,18
2018-08-11,8
2018-08-12,33
2018-08-13,25
2018-08-14,31
2018-08-15,23
2018-08-16,35
2018-08-17,28
2018-08-18,16
2018-08-19,24
2018-08-20,32
2018-08-21,28
2018-08-22,30
2018-08-23,33
2018-08-24,22
2018-08-25,14
2018-08-26,32
2018-08-27,36
2018-08-28,47
2018-08-29,37
2018-08-30,38
2018-08-31,25
2018-09-01,29
2018-09-02,29
2018-09-03,31
2018-09-04,62
2018-09-05,42
2018-09-06,49
2018-09-07,54
2018-09-08,18
2018-09-09,40
2018-09-10,40
2018-09-11,50
2018-09-12,48
2018-09-13,57
2018-09-14,40
2018-09-15,16
2018-09-16,22
2018-09-17,54
2018-09-18,59
2018-09-19,46
2018-09-20,55
2018-09-21,44
2018-09-22,33
2018-09-23,36
2018-09-24,53
2018-09-25,63
2018-09-26,42
2018-09-27,58
2018-09-28,50
2018-09-29,25
2018-09-30,32
2018-10-01,71
2018-10-02,58
2018-10-03,62
2018-10-04,51
2018-10-05,41
2018-10-06,29
2018-10-07,32
2018-10-08,64
2018-10-09,51
2018-10-10,46
2018-10-11,58
2018-10-12,73
2018-10-13,29
2018-10-14,21
2018-10-15,58
2018-10-16,61
2018-10-17,91
2018-10-18,63
2018-10-19,68
2018-10-20,29
2018-10-21,39
2018-10-22,62
2018-10-23,87
2018-10-24,62
2018-10-25,74
2018-10-26,75
2018-10-27,30
2018-10-28,52
2018-10-29,62
2018-10-30,80
2018-10-31,56
2018-11-01,87
2018-11-02,81
2018-11-03,25
2018-11-04,46
2018-11-05,95
2018-11-06,81
2018-11-07,93
2018-11-08,76
2018-11-09,62
2018-11-10,39
2018-11-11,26
2018-11-12,63
2018-11-13,91
2018-11-14,81
2018-11-15,100
2018-11-16,65
2018-11-17,35
2018-11-18,30
2018-11-19,70
2018-11-20,50
2018-11-21,61
2018-11-22,39
2018-11-23,27
2018-11-24,26
2018-11-25,30
2018-11-26,68
2018-11-27,87
2018-11-28,93
2018-11-29,99
2018-11-30,81
2018-12-01,31
2018-12-02,49
2018-12-03,64
2018-12-04,76
2018-12-05,81
2018-12-06,87
2018-12-07,91
2018-12-08,31
2018-12-09,37
2018-12-10,79
2018-12-11,93
2018-12-12,96
2018-12-13,68
2018-12-14,76
2018-12-15,36
2018-12-16,40
2018-12-17,71
2018-12-18,80
2018-12-19,60
2018-12-20,44
2018-12-21,40
2018-12-22,21
2018-12-23,13
2018-12-24,13
2018-12-25,18
2018-12-26,20
2018-12-27,25
2018-12-28,18
2018-12-29,19
2018-12-30,22
2018-12-31,19
2019-01-01,31
2019-01-02,45
2019-01-03,29
2019-01-04,50
2019-01-05,22
2019-01-06,22
2019-01-07,48
2019-01-08,75
2019-01-09,75
2019-01-10,89
2019-01-11,88
2019-01-12,34
2019-01-13,42
2019-01-14,51
2019-01-15,62
2019-01-16,67
2019-01-17,84
2019-01-18,73
2019-01-19,22
2019-01-20,33
2019-01-21,40
2019-01-22,74
2019-01-23,59
2019-01-24,59
2019-01-25,58
2019-01-26,30
2019-01-27,34
2019-01-28,68
2019-01-29,50
2019-01-30,71
2019-01-31,76
2019-02-01,64
2019-02-02,43
2019-02-03,29
2019-02-04,66
2019-02-05,73
2019-02-06,68
2019-02-07,96
2019-02-08,75
2019-02-09,32
2019-02-10,43
2019-02-11,71
2019-02-12,48
2019-02-13,77
2019-02-14,58
2019-02-15,78
2019-02-16,18
2019-02-17,38
2019-02-18,40
2019-02-19,74
2019-02-20,59
2019-02-21,64
2019-02-22,72
2019-02-23,30
2019-02-24,60
2019-02-25,80
2019-02-26,97
2019-02-27,76
2019-02-28,95
2019-03-01,78
2019-03-02,16
2019-03-03,36
2019-03-04,66
2019-03-05,73
2019-03-06,94
2019-03-07,96
2019-03-08,95
2019-03-09,39
2019-03-10,53
2019-03-11,69
2019-03-12,90
2019-03-13,85
2019-03-14,72
2019-03-15,54
2019-03-16,30
2019-03-17,48
2019-03-18,70
2019-03-19,86
2019-03-20,80
2019-03-21,67
2019-03-22,60
2019-03-23,22
2019-03-24,29
2019-03-25,81
2019-03-26,80
2019-03-27,95
2019-03-28,69
2019-03-29,71
2019-03-30,35
2019-03-31,26
2019-04-01,84
2019-04-02,81
2019-04-03,87
2019-04-04,83
2019-04-05,56
2019-04-06,24
2019-04-07,44
2019-04-08,90
2019-04-09,68
2019-04-10,89
2019-04-11,79
2019-04-12,56
2019-04-13,25
2019-04-14,33
2019-04-15,67
2019-04-16,66
2019-04-17,82
2019-04-18,56
2019-04-19,40
2019-04-20,44
2019-04-21,34
2019-04-22,49
2019-04-23,81
2019-04-24,80
2019-04-25,70
2019-04-26,64
2019-04-27,34
2019-04-28,44
2019-04-29,82
2019-04-30,73
2019-05-01,69
2019-05-02,72
2019-05-03,63
2019-05-04,28
2019-05-05,34
2019-05-06,59
2019-05-07,79
2019-05-08,57
2019-05-09,73
2019-05-10,57
2019-05-11,31
2019-05-12,23
2019-05-13,73
2019-05-14,88
2019-05-15,73
2019-05-16,73
2019-05-17,48
2019-05-18,25
2019-05-19,46
2019-05-20,64
2019-05-21,85
2019-05-22,65
2019-05-23,70
2019-05-24,49
2019-05-25,30
2019-05-26,43
2019-05-27,37
2019-05-28,59
2019-05-29,71
2019-05-30,60
2019-05-31,38
2019-06-01,27
2019-06-02,34
2019-06-03,37
2019-06-04,53
2019-06-05,64
2019-06-06,39
2019-06-07,42
2019-06-08,25
2019-06-09,20
2019-06-10,54
2019-06-11,45
2019-06-12,47
2019-06-13,33
2019-06-14,29
2019-06-15,23
2019-06-16,26
2019-06-17,44
2019-06-18,36
2019-06-19,30
2019-06-20,31
2019-06-21,35
2019-06-22,17
2019-06-23,44
2019-06-24,25
2019-06-25,30
2019-06-26,34
2019-06-27,18
2019-06-28,24
2019-06-29,13
2019-06-30,30
2019-07-01,36
2019-07-02,34
2019-07-03,23
2019-07-04,18
2019-07-05,23
2019-07-06,18
2019-07-07,27
2019-07-08,22
2019-07-09,21
2019-07-10,16
2019-07-11,16
2019-07-12,17
2019-07-13,12
2019-07-14,34
2019-07-15,17
2019-07-16,25
2019-07-17,24
2019-07-18,20
2019-07-19,25
2019-07-20,21
2019-07-21,28
2019-07-22,22
2019-07-23,25
2019-07-24,28
2019-07-25,27
2019-07-26,26
2019-07-27,20
2019-07-28,27
2019-07-29,31
2019-07-30,22
2019-07-31,20
2019-08-01,18
2019-08-02,19
2019-08-03,27
2019-08-04,29
2019-08-05,30
2019-08-06,25
2019-08-07,25
2019-08-08,30
2019-08-09,22
2019-08-10,20
2019-08-11,22
2019-08-12,31
2019-08-13,21
2019-08-14,12
2019-08-15,33
2019-08-16,21
2019-08-17,22
2019-08-18,22
2019-08-19,16
2019-08-20,32
2019-08-21,30
2019-08-22,30
2019-08-23,22
2019-08-24,12
2019-08-25,29
2019-08-26,30
2019-08-27,31
2019-08-28,27
2019-08-29,32
2019-08-30,28
2019-08-31,17
2019-09-01,17
2019-09-02,23
2019-09-03,46
2019-09-04,35
2019-09-05,60
2019-09-06,36
2019-09-07,29
2019-09-08,44
2019-09-09,48
2019-09-10,40
2019-09-11,54
2019-09-12,46
2019-09-13,45
2019-09-14,16
2019-09-15,33
2019-09-16,62
2019-09-17,60
2019-09-18,48
2019-09-19,63
2019-09-20,35
2019-09-21,35
2019-09-22,34
2019-09-23,41
2019-09-24,48
2019-09-25,50
2019-09-26,70
2019-09-27,57
2019-09-28,32
2019-09-29,39
2019-09-30,46
2019-10-01,43
2019-10-02,72
2019-10-03,63
2019-10-04,53
2019-10-05,24
2019-10-06,45
2019-10-07,57
2019-10-08,40
2019-10-09,50
2019-10-10,58
2019-10-11,39
2019-10-12,43
2019-10-13,22
2019-10-14,54
2019-10-15,79
2019-10-16,79
2019-10-17,54
2019-10-18,60
2019-10-19,27
2019-10-20,29
2019-10-21,73
2019-10-22,70
2019-10-23,66
2019-10-24,73
2019-10-25,36
2019-10-26,19
2019-10-27,34
2019-10-28,54
2019-10-29,64
2019-10-30,63
2019-10-31,70
2019-11-01,54
2019-11-02,29
2019-11-03,42
2019-11-04,57
2019-11-05,72
2019-11-06,83
2019-11-07,76
2019-11-08,72
2019-11-09,23
2019-11-10,27
2019-11-11,44
2019-11-12,66
2019-11-13,72
2019-11-14,67
2019-11-15,61
2019-11-16,17
2019-11-17,48
2019-11-18,83
2019-11-19,64
2019-11-20,80
2019-11-21,100
2019-11-22,78
2019-11-23,26
2019-11-24,41
2019-11-25,57
2019-11-26,56
2019-11-27,43
2019-11-28,39
2019-11-29,22
2019-11-30,29
2019-12-01,40
2019-12-02,63
2019-12-03,76
2019-12-04,74
2019-12-05,73
2019-12-06,70
2019-12-07,23
2019-12-08,28
2019-12-09,72
2019-12-10,66
2019-12-11,85
2019-12-12,75
2019-12-13,68
2019-12-14,20
2019-12-15,37
2019-12-16,58
2019-12-17,71
2019-12-18,50
2019-12-19,54
2019-12-20,21
2019-12-21,8
2019-12-22,19
2019-12-23,25
2019-12-24,19
2019-12-25,19
2019-12-26,27
2019-12-27,19
2019-12-28,22
2019-12-29,22
2019-12-30,20
2019-12-31,9
2020-01-01,33
2020-01-02,29
2020-01-03,34
2020-01-04,22
2020-01-05,35
2020-01-06,50
2020-01-07,44
2020-01-08,70
2020-01-09,48
2020-01-10,36
2020-01-11,30
2020-01-12,32
2020-01-13,64
2020-01-14,68
2020-01-15,58
2020-01-16,78
2020-01-17,58
2020-01-18,34
2020-01-19,25
2020-01-20,36
2020-01-21,59
2020-01-22,49
2020-01-23,77
2020-01-24,56
2020-01-25,24
2020-01-26,23
2020-01-27,65
2020-01-28,66
2020-01-29,54
2020-01-30,68
2020-01-31,40
2020-02-01,35
2020-02-02,33
2020-02-03,64
2020-02-04,79
2020-02-05,87
2020-02-06,69
2020-02-07,58
2020-02-08,35
2020-02-09,39
2020-02-10,57
2020-02-11,79
2020-02-12,69
2020-02-13,59
2020-02-14,49
2020-02-15,25
2020-02-16,38
2020-02-17,48
2020-02-18,64
2020-02-19,92
2020-02-20,66
2020-02-21,66
2020-02-22,35
2020-02-23,40
2020-02-24,64
2020-02-25,69
2020-02-26,70
2020-02-27,63
2020-02-28,63
2020-02-29,39
2020-03-01,55
2020-03-02,74
2020-03-03,100
2020-03-04,85
2020-03-05,82
2020-03-06,77
2020-03-07,44
2020-03-08,56
2020-03-09,59
2020-03-10,56
2020-03-11,78
2020-03-12,60
2020-03-13,37
2020-03-14,36
2020-03-15,28
2020-03-16,34
2020-03-17,38
2020-03-18,34
2020-03-19,41
2020-03-20,35
2020-03-21,31
2020-03-22,19
2020-03-23,35
2020-03-24,39
2020-03-25,62
2020-03-26,40
2020-03-27,52
2020-03-28,27
2020-03-29,26
2020-03-30,54
2020-03-31,41
2020-04-01,66
