date,solar energy
2016-07-17,34
2016-07-18,45
2016-07-19,43
2016-07-20,46
2016-07-21,57
2016-07-22,42
2016-07-23,41
2016-07-24,62
2016-07-25,50
2016-07-26,51
2016-07-27,56
2016-07-28,53
2016-07-29,54
2016-07-30,44
2016-07-31,45
2016-08-01,53
2016-08-02,64
2016-08-03,46
2016-08-04,47
2016-08-05,35
2016-08-06,42
2016-08-07,51
2016-08-08,48
2016-08-09,53
2016-08-10,37
2016-08-11,42
2016-08-12,60
2016-08-13,31
2016-08-14,26
2016-08-15,47
2016-08-16,53
2016-08-17,39
2016-08-18,52
2016-08-19,55
2016-08-20,37
2016-08-21,39
2016-08-22,50
2016-08-23,64
2016-08-24,57
2016-08-25,62
2016-08-26,57
2016-08-27,46
2016-08-28,48
2016-08-29,57
2016-08-30,53
2016-08-31,55
2016-09-01,47
2016-09-02,61
2016-09-03,30
2016-09-04,34
2016-09-05,43
2016-09-06,53
2016-09-07,54
2016-09-08,54
2016-09-09,57
2016-09-10,32
2016-09-11,50
2016-09-12,48
2016-09-13,51
2016-09-14,59
2016-09-15,45
2016-09-16,51
2016-09-17,41
2016-09-18,48
2016-09-19,61
2016-09-20,52
2016-09-21,54
2016-09-22,48
2016-09-23,47
2016-09-24,39
2016-09-25,43
2016-09-26,70
2016-09-27,67
2016-09-28,64
2016-09-29,59
2016-09-30,56
2016-10-01,35
2016-10-02,56
2016-10-03,73
2016-10-04,65
2016-10-05,62
2016-10-06,64
2016-10-07,52
2016-10-08,38
2016-10-09,50
2016-10-10,67
2016-10-11,47
2016-10-12,62
2016-10-13,81
2016-10-14,51
2016-10-15,44
2016-10-16,42
2016-10-17,65
2016-10-18,58
2016-10-19,67
2016-10-20,68
2016-10-21,64
2016-10-22,33
2016-10-23,50
2016-10-24,67
2016-10-25,80
2016-10-26,72
2016-10-27,71
2016-10-28,51
2016-10-29,33
2016-10-30,45
2016-10-31,83
2016-11-01,83
2016-11-02,82
2016-11-03,65
2016-11-04,59
2016-11-05,46
2016-11-06,40
2016-11-07,69
2016-11-08,71
2016-11-09,66
2016-11-10,62
2016-11-11,54
2016-11-12,43
2016-11-13,50
2016-11-14,72
2016-11-15,62
2016-11-16,77
2016-11-17,79
2016-11-18,69
2016-11-19,38
2016-11-20,51
2016-11-21,58
2016-11-22,83
2016-11-23,50
2016-11-24,57
2016-11-25,41
2016-11-26,34
2016-11-27,49
2016-11-28,75
2016-11-29,81
2016-11-30,100
2016-12-01,74
2016-12-02,68
2016-12-03,45
2016-12-04,44
2016-12-05,87
2016-12-06,74
2016-12-07,78
2016-12-08,72
2016-12-09,55
2016-12-10,46
2016-12-11,35
2016-12-12,64
2016-12-13,70
2016-12-14,76
2016-12-15,64
2016-12-16,79
2016-12-17,27
2016-12-18,41
2016-12-19,47
2016-12-20,64
2016-12-21,57
2016-12-22,55
2016-12-23,31
2016-12-24,19
2016-12-25,22
2016-12-26,39
2016-12-27,54
2016-12-28,32
2016-12-29,32
2016-12-30,23
2016-12-31,19
2017-01-01,34
2017-01-02,29
2017-01-03,50
2017-01-04,70
2017-01-05,61
2017-01-06,55
2017-01-07,36
2017-01-08,39
2017-01-09,65
2017-01-10,67
2017-01-11,70
2017-01-12,65
2017-01-13,58
2017-01-14,37
2017-01-15,44
2017-01-16,67
2017-01-17,61
2017-01-18,61
2017-01-19,78
2017-01-20,60
2017-01-21,44
2017-01-22,41
2017-01-23,58
2017-01-24,66
2017-01-25,57
2017-01-26,55
2017-01-27,54
2017-01-28,45
2017-01-29,46
2017-01-30,74
2017-01-31,84
2017-02-01,75
2017-02-02,71
2017-02-03,50
2017-02-04,47
2017-02-05,50
2017-02-06,76
2017-02-07,66
2017-02-08,79
2017-02-09,72
2017-02-10,66
2017-02-11,50
2017-02-12,47
2017-02-13,81
2017-02-14,73
2017-02-15,83
2017-02-16,82
2017-02-17,62
2017-02-18,35
2017-02-19,42
2017-02-20,66
2017-02-21,83
2017-02-22,82
2017-02-23,74
2017-02-24,66
2017-02-25,48
2017-02-26,51
2017-02-27,83
2017-02-28,84
2017-03-01,70
2017-03-02,58
2017-03-03,66
2017-03-04,38
2017-03-05,49
2017-03-06,87
2017-03-07,72
2017-03-08,66
2017-03-09,75
2017-03-10,68
2017-03-11,50
2017-03-12,64
2017-03-13,67
2017-03-14,74
2017-03-15,66
2017-03-16,81
2017-03-17,50
2017-03-18,51
2017-03-19,48
2017-03-20,64
2017-03-21,80
2017-03-22,75
2017-03-23,71
2017-03-24,72
2017-03-25,36
2017-03-26,50
2017-03-27,73
2017-03-28,80
2017-03-29,77
2017-03-30,80
2017-03-31,53
2017-04-01,36
2017-04-02,58
2017-04-03,82
2017-04-04,71
2017-04-05,67
2017-04-06,75
2017-04-07,66
2017-04-08,36
2017-04-09,58
2017-04-10,66
2017-04-11,64
2017-04-12,77
2017-04-13,59
2017-04-14,43
2017-04-15,36
2017-04-16,45
2017-04-17,61
2017-04-18,71
2017-04-19,74
2017-04-20,60
2017-04-21,78
2017-04-22,38
2017-04-23,48
2017-04-24,83
2017-04-25,77
2017-04-26,96
2017-04-27,70
2017-04-28,68
2017-04-29,35
2017-04-30,40
2017-05-01,86
2017-05-02,96
2017-05-03,86
2017-05-04,87
2017-05-05,69
2017-05-06,47
2017-05-07,42
2017-05-08,80
2017-05-09,73
2017-05-10,89
2017-05-11,79
2017-05-12,69
2017-05-13,41
2017-05-14,51
2017-05-15,71
2017-05-16,74
2017-05-17,70
2017-05-18,82
2017-05-19,69
2017-05-20,42
2017-05-21,49
2017-05-22,89
2017-05-23,59
2017-05-24,88
2017-05-25,70
2017-05-26,57
2017-05-27,33
2017-05-28,57
2017-05-29,46
2017-05-30,72
2017-05-31,69
2017-06-01,52
2017-06-02,69
2017-06-03,47
2017-06-04,34
2017-06-05,61
2017-06-06,63
2017-06-07,59
2017-06-08,65
2017-06-09,47
2017-06-10,45
2017-06-11,47
2017-06-12,61
2017-06-13,59
2017-06-14,62
2017-06-15,73
2017-06-16,52
2017-06-17,47
2017-06-18,44
2017-06-19,55
2017-06-20,61
2017-06-21,57
2017-06-22,52
2017-06-23,58
2017-06-24,38
2017-06-25,35
2017-06-26,58
2017-06-27,35
2017-06-28,52
2017-06-29,52
2017-06-30,51
2017-07-01,33
2017-07-02,38
2017-07-03,54
2017-07-04,53
2017-07-05,55
2017-07-06,67
2017-07-07,45
2017-07-08,53
2017-07-09,50
2017-07-10,54
2017-07-11,58
2017-07-12,53
2017-07-13,38
2017-07-14,57
2017-07-15,48
2017-07-16,51
2017-07-17,57
2017-07-18,42
2017-07-19,58
2017-07-20,45
2017-07-21,49
2017-07-22,39
2017-07-23,41
2017-07-24,41
2017-07-25,59
2017-07-26,60
2017-07-27,54
2017-07-28,46
2017-07-29,26
2017-07-30,42
2017-07-31,52
2017-08-01,51
2017-08-02,42
2017-08-03,48
2017-08-04,46
2017-08-05,34
2017-08-06,43
2017-08-07,56
2017-08-08,58
2017-08-09,51
2017-08-10,54
2017-08-11,42
2017-08-12,30
2017-08-13,47
2017-08-14,43
2017-08-15,59
2017-08-16,66
2017-08-17,56
2017-08-18,63
2017-08-19,54
2017-08-20,57
2017-08-21,100
2017-08-22,69
2017-08-23,53
2017-08-24,55
2017-08-25,47
2017-08-26,39
2017-08-27,51
2017-08-28,53
2017-08-29,52
2017-08-30,68
2017-08-31,47
2017-09-01,28
2017-09-02,28
2017-09-03,41
2017-09-04,52
2017-09-05,60
2017-09-06,54
2017-09-07,65
2017-09-08,65
2017-09-09,37
2017-09-10,34
2017-09-11,66
2017-09-12,58
2017-09-13,70
2017-09-14,70
2017-09-15,54
2017-09-16,47
2017-09-17,49
2017-09-18,74
2017-09-19,59
2017-09-20,64
2017-09-21,68
2017-09-22,52
2017-09-23,47
2017-09-24,46
2017-09-25,54
2017-09-26,59
2017-09-27,54
2017-09-28,58
2017-09-29,67
2017-09-30,25
2017-10-01,41
2017-10-02,62
2017-10-03,76
2017-10-04,75
2017-10-05,59
2017-10-06,55
2017-10-07,34
2017-10-08,43
2017-10-09,60
2017-10-10,67
2017-10-11,85
2017-10-12,83
2017-10-13,63
2017-10-14,49
2017-10-15,49
2017-10-16,70
2017-10-17,75
2017-10-18,68
2017-10-19,66
2017-10-20,62
2017-10-21,36
2017-10-22,39
2017-10-23,76
2017-10-24,77
2017-10-25,71
2017-10-26,69
2017-10-27,62
2017-10-28,54
2017-10-29,52
2017-10-30,68
2017-10-31,77
2017-11-01,72
2017-11-02,56
2017-11-03,50
2017-11-04,60
2017-11-05,53
2017-11-06,69
2017-11-07,85
2017-11-08,90
2017-11-09,57
2017-11-10,52
2017-11-11,51
2017-11-12,58
2017-11-13,78
2017-11-14,74
2017-11-15,69
2017-11-16,85
2017-11-17,72
2017-11-18,50
2017-11-19,47
2017-11-20,71
2017-11-21,70
2017-11-22,56
2017-11-23,45
2017-11-24,40
2017-11-25,35
2017-11-26,55
2017-11-27,79
2017-11-28,81
2017-11-29,82
2017-11-30,71
2017-12-01,69
2017-12-02,36
2017-12-03,47
2017-12-04,71
2017-12-05,73
2017-12-06,93
2017-12-07,75
2017-12-08,65
2017-12-09,47
2017-12-10,56
2017-12-11,89
2017-12-12,81
2017-12-13,65
2017-12-14,61
2017-12-15,74
2017-12-16,40
2017-12-17,43
2017-12-18,72
2017-12-19,70
2017-12-20,46
2017-12-21,47
2017-12-22,36
2017-12-23,24
2017-12-24,32
2017-12-25,23
2017-12-26,41
2017-12-27,43
2017-12-28,29
2017-12-29,37
2017-12-30,33
2017-12-31,29
2018-01-01,43
2018-01-02,49
2018-01-03,63
2018-01-04,71
2018-01-05,50
2018-01-06,30
2018-01-07,52
2018-01-08,59
2018-01-09,80
2018-01-10,78
2018-01-11,89
2018-01-12,66
2018-01-13,29
2018-01-14,43
2018-01-15,67
2018-01-16,60
2018-01-17,70
2018-01-18,69
2018-01-19,57
2018-01-20,50
2018-01-21,36
2018-01-22,76
2018-01-23,90
2018-01-24,96
2018-01-25,77
2018-01-26,67
2018-01-27,25
2018-01-28,34
2018-01-29,69
2018-01-30,81
2018-01-31,78
2018-02-01,74
2018-02-02,77
2018-02-03,43
2018-02-04,43
2018-02-05,70
2018-02-06,78
2018-02-07,60
2018-02-08,72
2018-02-09,92
2018-02-10,38
2018-02-11,56
2018-02-12,74
2018-02-13,93
2018-02-14,80
2018-02-15,77
2018-02-16,69
2018-02-17,25
2018-02-18,55
2018-02-19,55
2018-02-20,83
2018-02-21,79
2018-02-22,79
2018-02-23,62
2018-02-24,44
2018-02-25,56
2018-02-26,71
2018-02-27,71
2018-02-28,87
2018-03-01,68
2018-03-02,60
2018-03-03,42
2018-03-04,40
2018-03-05,85
2018-03-06,91
2018-03-07,70
2018-03-08,63
2018-03-09,65
2018-03-10,48
2018-03-11,52
2018-03-12,83
2018-03-13,82
2018-03-14,74
2018-03-15,70
2018-03-16,76
2018-03-17,36
2018-03-18,60
2018-03-19,82
2018-03-20,84
2018-03-21,95
2018-03-22,69
2018-03-23,72
2018-03-24,43
2018-03-25,48
2018-03-26,76
2018-03-27,77
2018-03-28,65
2018-03-29,83
2018-03-30,41
2018-03-31,32
2018-04-01,46
2018-04-02,59
2018-04-03,67
2018-04-04,57
2018-04-05,58
2018-04-06,72
2018-04-07,33
2018-04-08,70
2018-04-09,85
2018-04-10,79
2018-04-11,95
2018-04-12,72
2018-04-13,70
2018-04-14,56
2018-04-15,48
2018-04-16,77
2018-04-17,91
2018-04-18,88
2018-04-19,100
2018-04-20,64
2018-04-21,45
2018-04-22,55
2018-04-23,85
2018-04-24,87
2018-04-25,76
2018-04-26,79
2018-04-27,82
2018-04-28,46
2018-04-29,51
2018-04-30,81
2018-05-01,77
2018-05-02,68
2018-05-03,82
2018-05-04,75
2018-05-05,55
2018-05-06,47
2018-05-07,85
2018-05-08,81
2018-05-09,72
2018-05-10,75
2018-05-11,69
2018-05-12,43
2018-05-13,40
2018-05-14,89
2018-05-15,86
2018-05-16,80
2018-05-17,66
2018-05-18,72
2018-05-19,23
2018-05-20,62
2018-05-21,75
2018-05-22,89
2018-05-23,70
2018-05-24,72
2018-05-25,61
2018-05-26,44
2018-05-27,43
2018-05-28,52
2018-05-29,72
2018-05-30,67
2018-05-31,78
2018-06-01,59
2018-06-02,36
2018-06-03,66
2018-06-04,61
2018-06-05,55
2018-06-06,66
2018-06-07,74
2018-06-08,56
2018-06-09,29
2018-06-10,59
2018-06-11,56
2018-06-12,48
2018-06-13,58
2018-06-14,63
2018-06-15,47
2018-06-16,30
2018-06-17,28
2018-06-18,58
2018-06-19,48
2018-06-20,59
2018-06-21,60
2018-06-22,37
2018-06-23,39
2018-06-24,39
2018-06-25,52
2018-06-26,57
2018-06-27,41
2018-06-28,43
2018-06-29,48
2018-06-30,34
2018-07-01,35
2018-07-02,58
2018-07-03,53
2018-07-04,45
2018-07-05,52
2018-07-06,46
2018-07-07,32
2018-07-08,42
2018-07-09,39
2018-07-10,55
2018-07-11,50
2018-07-12,45
2018-07-13,40
2018-07-14,31
2018-07-15,38
2018-07-16,52
2018-07-17,41
2018-07-18,48
2018-07-19,52
2018-07-20,37
2018-07-21,34
2018-07-22,48
2018-07-23,58
2018-07-24,51
2018-07-25,54
2018-07-26,66
2018-07-27,53
2018-07-28,30
2018-07-29,42
2018-07-30,66
2018-07-31,55
2018-08-01,45
2018-08-02,59
2018-08-03,54
2018-08-04,47
2018-08-05,54
2018-08-06,50
2018-08-07,70
2018-08-08,50
2018-08-09,54
2018-08-10,55
2018-08-11,42
2018-08-12,36
2018-08-13,52
2018-08-14,55
2018-08-15,48
2018-08-16,54
2018-08-17,48
2018-08-18,35
2018-08-19,61
2018-08-20,53
2018-08-21,50
2018-08-22,51
2018-08-23,52
2018-08-24,46
2018-08-25,39
2018-08-26,39
2018-08-27,58
2018-08-28,52
2018-08-29,59
2018-08-30,58
2018-08-31,35
2018-09-01,20
2018-09-02,36
2018-09-03,43
2018-09-04,47
2018-09-05,50
2018-09-06,56
2018-09-07,49
2018-09-08,39
2018-09-09,52
2018-09-10,64
2018-09-11,50
2018-09-12,68
2018-09-13,51
2018-09-14,46
2018-09-15,31
2018-09-16,57
2018-09-17,63
2018-09-18,55
2018-09-19,68
2018-09-20,66
2018-09-21,49
2018-09-22,45
2018-09-23,44
2018-09-24,56
2018-09-25,59
2018-09-26,68
2018-09-27,53
2018-09-28,58
2018-09-29,35
2018-09-30,38
2018-10-01,53
2018-10-02,66
2018-10-03,67
2018-10-04,57
2018-10-05,48
2018-10-06,45
2018-10-07,58
2018-10-08,51
2018-10-09,51
2018-10-10,62
2018-10-11,60
2018-10-12,65
2018-10-13,41
2018-10-14,42
2018-10-15,67
2018-10-16,63
2018-10-17,79
2018-10-18,67
2018-10-19,53
2018-10-20,27
2018-10-21,50
2018-10-22,53
2018-10-23,64
2018-10-24,47
2018-10-25,71
2018-10-26,58
2018-10-27,41
2018-10-28,41
2018-10-29,62
2018-10-30,65
2018-10-31,72
2018-11-01,64
2018-11-02,59
2018-11-03,44
2018-11-04,50
2018-11-05,56
2018-11-06,56
2018-11-07,60
2018-11-08,63
2018-11-09,61
2018-11-10,42
2018-11-11,48
2018-11-12,63
2018-11-13,80
2018-11-14,80
2018-11-15,64
2018-11-16,51
2018-11-17,42
2018-11-18,34
2018-11-19,67
2018-11-20,55
2018-11-21,57
2018-11-22,45
2018-11-23,43
2018-11-24,33
2018-11-25,45
2018-11-26,75
2018-11-27,65
2018-11-28,75
2018-11-29,80
2018-11-30,61
2018-12-01,39
2018-12-02,56
2018-12-03,76
2018-12-04,78
2018-12-05,82
2018-12-06,69
2018-12-07,59
2018-12-08,45
2018-12-09,40
2018-12-10,62
2018-12-11,73
2018-12-12,65
2018-12-13,81
2018-12-14,65
2018-12-15,47
2018-12-16,34
2018-12-17,58
2018-12-18,73
2018-12-19,53
2018-12-20,52
2018-12-21,48
2018-12-22,36
2018-12-23,32
2018-12-24,36
2018-12-25,35
2018-12-26,33
2018-12-27,39
2018-12-28,38
2018-12-29,37
2018-12-30,40
2018-12-31,35
2019-01-01,34
2019-01-02,48
2019-01-03,64
2019-01-04,53
2019-01-05,34
2019-01-06,43
2019-01-07,59
2019-01-08,64
2019-01-09,64
2019-01-10,67
2019-01-11,64
2019-01-12,25
2019-01-13,33
2019-01-14,65
2019-01-15,64
2019-01-16,68
2019-01-17,73
2019-01-18,71
2019-01-19,37
2019-01-20,44
2019-01-21,52
2019-01-22,82
2019-01-23,69
2019-01-24,80
2019-01-25,46
2019-01-26,30
2019-01-27,41
2019-01-28,62
2019-01-29,74
2019-01-30,58
2019-01-31,82
2019-02-01,58
2019-02-02,46
2019-02-03,53
2019-02-04,57
2019-02-05,80
2019-02-06,78
2019-02-07,76
2019-02-08,63
2019-02-09,50
2019-02-10,41
2019-02-11,66
2019-02-12,69
2019-02-13,65
2019-02-14,65
2019-02-15,55
2019-02-16,40
2019-02-17,48
2019-02-18,53
2019-02-19,71
2019-02-20,54
2019-02-21,70
2019-02-22,60
2019-02-23,44
2019-02-24,48
2019-02-25,69
2019-02-26,77
2019-02-27,60
2019-02-28,74
2019-03-01,47
2019-03-02,41
2019-03-03,50
2019-03-04,64
2019-03-05,86
2019-03-06,84
2019-03-07,76
2019-03-08,62
2019-03-09,39
2019-03-10,46
2019-03-11,59
2019-03-12,74
2019-03-13,61
2019-03-14,58
2019-03-15,54
2019-03-16,35
2019-03-17,44
2019-03-18,65
2019-03-19,79
2019-03-20,72
2019-03-21,65
2019-03-22,59
2019-03-23,41
2019-03-24,56
2019-03-25,74
2019-03-26,82
2019-03-27,73
2019-03-28,79
2019-03-29,59
2019-03-30,32
2019-03-31,53
2019-04-01,78
2019-04-02,100
2019-04-03,75
2019-04-04,92
2019-04-05,81
2019-04-06,29
2019-04-07,59
2019-04-08,76
2019-04-09,80
2019-04-10,68
2019-04-11,84
2019-04-12,61
2019-04-13,37
2019-04-14,57
2019-04-15,76
2019-04-16,69
2019-04-17,54
2019-04-18,64
2019-04-19,57
2019-04-20,46
2019-04-21,55
2019-04-22,63
2019-04-23,68
2019-04-24,67
2019-04-25,97
2019-04-26,73
2019-04-27,39
2019-04-28,56
2019-04-29,85
2019-04-30,91
2019-05-01,81
2019-05-02,96
2019-05-03,70
2019-05-04,45
2019-05-05,61
2019-05-06,91
2019-05-07,84
2019-05-08,77
2019-05-09,92
2019-05-10,68
2019-05-11,42
2019-05-12,57
2019-05-13,76
2019-05-14,85
2019-05-15,87
2019-05-16,94
2019-05-17,66
2019-05-18,31
2019-05-19,62
2019-05-20,91
2019-05-21,81
2019-05-22,77
2019-05-23,78
2019-05-24,56
2019-05-25,37
2019-05-26,69
2019-05-27,48
2019-05-28,59
2019-05-29,62
2019-05-30,74
2019-05-31,68
2019-06-01,32
2019-06-02,49
2019-06-03,51
2019-06-04,62
2019-06-05,65
2019-06-06,71
2019-06-07,63
2019-06-08,45
2019-06-09,50
2019-06-10,65
2019-06-11,62
2019-06-12,62
2019-06-13,63
2019-06-14,46
2019-06-15,37
2019-06-16,48
2019-06-17,65
2019-06-18,62
2019-06-19,61
2019-06-20,63
2019-06-21,63
2019-06-22,46
2019-06-23,44
2019-06-24,54
2019-06-25,49
2019-06-26,58
2019-06-27,43
2019-06-28,48
2019-06-29,45
2019-06-30,53
2019-07-01,56
2019-07-02,57
2019-07-03,53
2019-07-04,49
2019-07-05,56
2019-07-06,30
2019-07-07,41
2019-07-08,47
2019-07-09,58
2019-07-10,47
2019-07-11,58
2019-07-12,52
2019-07-13,42
2019-07-14,34
2019-07-15,51
2019-07-16,52
2019-07-17,58
2019-07-18,60
2019-07-19,69
2019-07-20,52
2019-07-21,46
2019-07-22,46
2019-07-23,59
2019-07-24,50
2019-07-25,66
2019-07-26,47
2019-07-27,45
2019-07-28,41
2019-07-29,47
2019-07-30,49
2019-07-31,62
2019-08-01,65
2019-08-02,50
2019-08-03,50
2019-08-04,49
2019-08-05,48
2019-08-06,53
2019-08-07,65
2019-08-08,45
2019-08-09,48
2019-08-10,36
2019-08-11,42
2019-08-12,48
2019-08-13,55
2019-08-14,61
2019-08-15,53
2019-08-16,54
2019-08-17,45
2019-08-18,55
2019-08-19,61
2019-08-20,59
2019-08-21,58
2019-08-22,68
2019-08-23,48
2019-08-24,47
2019-08-25,46
2019-08-26,58
2019-08-27,61
2019-08-28,57
2019-08-29,49
2019-08-30,52
2019-08-31,38
2019-09-01,41
2019-09-02,55
2019-09-03,59
2019-09-04,57
2019-09-05,61
2019-09-06,64
2019-09-07,37
2019-09-08,42
2019-09-09,64
2019-09-10,54
2019-09-11,65
2019-09-12,65
2019-09-13,67
2019-09-14,38
2019-09-15,49
2019-09-16,67
2019-09-17,53
2019-09-18,64
2019-09-19,65
2019-09-20,67
2019-09-21,44
2019-09-22,61
2019-09-23,90
2019-09-24,65
2019-09-25,71
2019-09-26,74
2019-09-27,68
2019-09-28,42
2019-09-29,59
2019-09-30,63
2019-10-01,59
2019-10-02,80
2019-10-03,91
2019-10-04,64
2019-10-05,50
2019-10-06,53
2019-10-07,71
2019-10-08,73
2019-10-09,80
2019-10-10,66
2019-10-11,65
2019-10-12,52
2019-10-13,54
2019-10-14,87
2019-10-15,97
2019-10-16,87
2019-10-17,78
2019-10-18,100
2019-10-19,42
2019-10-20,35
2019-10-21,70
2019-10-22,68
2019-10-23,77
2019-10-24,73
2019-10-25,66
2019-10-26,51
2019-10-27,42
2019-10-28,84
2019-10-29,78
2019-10-30,92
2019-10-31,70
2019-11-01,66
2019-11-02,45
2019-11-03,45
2019-11-04,77
2019-11-05,72
2019-11-06,80
2019-11-07,85
2019-11-08,74
2019-11-09,43
2019-11-10,62
2019-11-11,64
2019-11-12,77
2019-11-13,70
2019-11-14,72
2019-11-15,90
2019-11-16,58
2019-11-17,57
2019-11-18,83
2019-11-19,87
2019-11-20,95
2019-11-21,86
2019-11-22,76
2019-11-23,53
2019-11-24,47
2019-11-25,69
2019-11-26,74
2019-11-27,68
2019-11-28,66
2019-11-29,45
2019-11-30,36
2019-12-01,37
2019-12-02,79
2019-12-03,75
2019-12-04,82
2019-12-05,73
2019-12-06,87
2019-12-07,51
2019-12-08,51
2019-12-09,66
2019-12-10,68
2019-12-11,71
2019-12-12,84
2019-12-13,80
2019-12-14,61
2019-12-15,67
2019-12-16,69
2019-12-17,92
2019-12-18,64
2019-12-19,71
2019-12-20,63
2019-12-21,24
2019-12-22,27
2019-12-23,49
2019-12-24,44
2019-12-25,30
2019-12-26,51
2019-12-27,61
2019-12-28,38
2019-12-29,33
2019-12-30,40
2019-12-31,32
2020-01-01,52
2020-01-02,60
2020-01-03,63
2020-01-04,46
2020-01-05,42
2020-01-06,62
2020-01-07,86
2020-01-08,73
2020-01-09,83
2020-01-10,83
2020-01-11,55
2020-01-12,56
2020-01-13,81
2020-01-14,86
2020-01-15,84
2020-01-16,90
2020-01-17,68
2020-01-18,43
2020-01-19,51
2020-01-20,53
2020-01-21,83
2020-01-22,70
2020-01-23,88
2020-01-24,70
2020-01-25,48
2020-01-26,52
2020-01-27,68
2020-01-28,70
2020-01-29,73
2020-01-30,79
2020-01-31,78
2020-02-01,55
2020-02-02,60
2020-02-03,77
2020-02-04,83
2020-02-05,78
2020-02-06,83
2020-02-07,85
2020-02-08,46
2020-02-09,50
2020-02-10,87
2020-02-11,85
2020-02-12,89
2020-02-13,90
2020-02-14,77
2020-02-15,47
2020-02-16,56
2020-02-17,82
2020-02-18,83
2020-02-19,90
2020-02-20,73
2020-02-21,74
2020-02-22,45
2020-02-23,51
2020-02-24,77
2020-02-25,95
2020-02-26,92
2020-02-27,69
2020-02-28,77
2020-02-29,57
2020-03-01,56
2020-03-02,83
2020-03-03,98
2020-03-04,80
2020-03-05,81
2020-03-06,76
2020-03-07,47
2020-03-08,43
2020-03-09,68
2020-03-10,87
2020-03-11,64
2020-03-12,76
2020-03-13,50
2020-03-14,38
2020-03-15,42
2020-03-16,51
2020-03-17,51
2020-03-18,49
2020-03-19,45
2020-03-20,43
2020-03-21,34
2020-03-22,36
2020-03-23,68
2020-03-24,44
2020-03-25,54
2020-03-26,60
2020-03-27,55
2020-03-28,42
2020-03-29,38
2020-03-30,56
2020-03-31,66
2020-04-01,63
2020-04-02,65
