date,telsa
2020-04-03,21
2020-04-04,21
2020-04-05,15
2020-04-06,9
2020-04-07,30
2020-04-08,35
2020-04-09,31
2020-04-10,22
2020-04-11,23
2020-04-12,21
2020-04-13,26
2020-04-14,27
2020-04-15,39
2020-04-16,25
2020-04-17,23
2020-04-18,36
2020-04-19,15
2020-04-20,24
2020-04-21,13
2020-04-22,23
2020-04-23,29
2020-04-24,28
2020-04-25,34
2020-04-26,23
2020-04-27,44
2020-04-28,47
2020-04-29,50
2020-04-30,32
2020-05-01,40
2020-05-02,51
2020-05-03,18
2020-05-04,22
2020-05-05,29
2020-05-06,40
2020-05-07,30
2020-05-08,26
2020-05-09,36
2020-05-10,50
2020-05-11,37
2020-05-12,38
2020-05-13,36
2020-05-14,36
2020-05-15,33
2020-05-16,39
2020-05-17,29
2020-05-18,27
2020-05-19,20
2020-05-20,23
2020-05-21,34
2020-05-22,17
2020-05-23,42
2020-05-24,40
2020-05-25,26
2020-05-26,28
2020-05-27,44
2020-05-28,32
2020-05-29,35
2020-05-30,39
2020-05-31,48
2020-06-01,28
2020-06-02,18
2020-06-03,32
2020-06-04,41
2020-06-05,38
2020-06-06,29
2020-06-07,42
2020-06-08,30
2020-06-09,30
2020-06-10,62
2020-06-11,46
2020-06-12,46
2020-06-13,56
2020-06-14,31
2020-06-15,28
2020-06-16,32
2020-06-17,35
2020-06-18,23
2020-06-19,24
2020-06-20,51
2020-06-21,62
2020-06-22,29
2020-06-23,36
2020-06-24,43
2020-06-25,22
2020-06-26,50
2020-06-27,24
2020-06-28,39
2020-06-29,43
2020-06-30,48
2020-07-01,39
2020-07-02,62
2020-07-03,17
2020-07-04,58
2020-07-05,52
2020-07-06,50
2020-07-07,45
2020-07-08,44
2020-07-09,42
2020-07-10,61
2020-07-11,55
2020-07-12,45
2020-07-13,73
2020-07-14,39
2020-07-15,37
2020-07-16,61
2020-07-17,36
2020-07-18,31
2020-07-19,37
2020-07-20,42
2020-07-21,59
2020-07-22,67
2020-07-23,57
2020-07-24,51
2020-07-25,40
2020-07-26,54
2020-07-27,55
2020-07-28,42
2020-07-29,27
2020-07-30,40
2020-07-31,55
2020-08-01,37
2020-08-02,57
2020-08-03,47
2020-08-04,36
2020-08-05,42
2020-08-06,42
2020-08-07,23
2020-08-08,53
2020-08-09,46
2020-08-10,36
2020-08-11,41
2020-08-12,50
2020-08-13,44
2020-08-14,57
2020-08-15,36
2020-08-16,30
2020-08-17,56
2020-08-18,33
2020-08-19,41
2020-08-20,54
2020-08-21,60
2020-08-22,50
2020-08-23,36
2020-08-24,52
2020-08-25,40
2020-08-26,26
2020-08-27,67
2020-08-28,53
2020-08-29,38
2020-08-30,66
2020-08-31,52
2020-09-01,72
2020-09-02,68
2020-09-03,74
2020-09-04,66
2020-09-05,35
2020-09-06,47
2020-09-07,29
2020-09-08,76
2020-09-09,70
2020-09-10,42
2020-09-11,40
2020-09-12,25
2020-09-13,37
2020-09-14,42
2020-09-15,43
2020-09-16,60
2020-09-17,30
2020-09-18,31
2020-09-19,40
2020-09-20,27
2020-09-21,38
2020-09-22,63
2020-09-23,47
2020-09-24,52
2020-09-25,37
2020-09-26,33
2020-09-27,22
2020-09-28,39
2020-09-29,39
2020-09-30,32
2020-10-01,40
2020-10-02,36
2020-10-03,45
2020-10-04,39
2020-10-05,39
2020-10-06,33
2020-10-07,37
2020-10-08,15
2020-10-09,36
2020-10-10,39
2020-10-11,18
2020-10-12,30
2020-10-13,30
2020-10-14,32
2020-10-15,41
2020-10-16,29
2020-10-17,46
2020-10-18,34
2020-10-19,34
2020-10-20,41
2020-10-21,44
2020-10-22,51
2020-10-23,48
2020-10-24,23
2020-10-25,28
2020-10-26,25
2020-10-27,27
2020-10-28,21
2020-10-29,16
2020-10-30,12
2020-10-31,21
2020-11-01,26
2020-11-02,39
2020-11-03,24
2020-11-04,23
2020-11-05,26
2020-11-06,22
2020-11-07,31
2020-11-08,17
2020-11-09,34
2020-11-10,34
2020-11-11,31
2020-11-12,47
2020-11-13,43
2020-11-14,13
2020-11-15,18
2020-11-16,39
2020-11-17,38
2020-11-18,36
2020-11-19,34
2020-11-20,21
2020-11-21,21
2020-11-22,20
2020-11-23,37
2020-11-24,45
2020-11-25,36
2020-11-26,23
2020-11-27,34
2020-11-28,27
2020-11-29,30
2020-11-30,38
2020-12-01,25
2020-12-02,38
2020-12-03,39
2020-12-04,21
2020-12-05,31
2020-12-06,33
2020-12-07,34
2020-12-08,61
2020-12-09,56
2020-12-10,48
2020-12-11,26
2020-12-12,33
2020-12-13,35
2020-12-14,27
2020-12-15,44
2020-12-16,21
2020-12-17,35
2020-12-18,29
2020-12-19,36
2020-12-20,42
2020-12-21,31
2020-12-22,41
2020-12-23,37
2020-12-24,27
2020-12-25,44
2020-12-26,21
2020-12-27,40
2020-12-28,38
2020-12-29,46
2020-12-30,44
2020-12-31,50
2021-01-01,56
2021-01-02,29
2021-01-03,46
2021-01-04,42
2021-01-05,41
2021-01-06,34
2021-01-07,75
2021-01-08,100
2021-01-09,65
2021-01-10,80
2021-01-11,60
2021-01-12,72
2021-01-13,66
2021-01-14,61
2021-01-15,64
2021-01-16,54
2021-01-17,40
2021-01-18,38
2021-01-19,25
2021-01-20,36
2021-01-21,45
2021-01-22,42
2021-01-23,41
2021-01-24,38
2021-01-25,49
2021-01-26,42
2021-01-27,74
2021-01-28,66
2021-01-29,38
2021-01-30,36
2021-01-31,56
2021-02-01,45
2021-02-02,38
2021-02-03,32
2021-02-04,48
2021-02-05,49
2021-02-06,23
2021-02-07,42
2021-02-08,58
2021-02-09,45
2021-02-10,36
2021-02-11,35
2021-02-12,46
2021-02-13,38
2021-02-14,46
2021-02-15,37
2021-02-16,46
2021-02-17,34
2021-02-18,43
2021-02-19,42
2021-02-20,38
2021-02-21,60
2021-02-22,40
2021-02-23,38
2021-02-24,34
2021-02-25,36
2021-02-26,40
2021-02-27,31
2021-02-28,53
2021-03-01,47
2021-03-02,48
2021-03-03,45
2021-03-04,31
2021-03-05,39
2021-03-06,28
2021-03-07,48
2021-03-08,52
2021-03-09,52
2021-03-10,49
2021-03-11,23
2021-03-12,25
2021-03-13,35
2021-03-14,37
2021-03-15,42
2021-03-16,35
2021-03-17,22
2021-03-18,48
2021-03-19,28
2021-03-20,20
