date,environmental protection agency adjusted
2015-07-16,0.0
2015-07-17,24.0
2015-07-18,0.0
2015-07-19,28.0
2015-07-20,35.0
2015-07-21,11.0
2015-07-22,33.0
2015-07-23,55.0
2015-07-24,23.0
2015-07-25,12.0
2015-07-26,40.0
2015-07-27,33.0
2015-07-28,22.0
2015-07-29,22.0
2015-07-30,0.0
2015-07-31,23.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,88.0
2015-08-04,22.0
2015-08-05,44.0
2015-08-06,23.0
2015-08-07,23.0
2015-08-08,12.0
2015-08-09,26.0
2015-08-10,10.0
2015-08-11,76.0
2015-08-12,22.0
2015-08-13,100.0
2015-08-14,45.0
2015-08-15,26.0
2015-08-16,12.0
2015-08-17,43.0
2015-08-18,53.0
2015-08-19,76.0
2015-08-20,55.0
2015-08-21,23.0
2015-08-22,12.0
2015-08-23,0.0
2015-08-24,64.0
2015-08-25,20.0
2015-08-26,53.0
2015-08-27,43.0
2015-08-28,33.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,31.0
2015-09-01,6.0
2015-09-02,6.0
2015-09-03,16.0
2015-09-04,7.0
2015-09-05,4.0
2015-09-06,4.0
2015-09-07,10.0
2015-09-08,6.0
2015-09-09,22.0
2015-09-10,6.0
2015-09-11,16.0
2015-09-12,4.0
2015-09-13,7.0
2015-09-14,6.0
2015-09-15,3.0
2015-09-16,9.0
2015-09-17,9.0
2015-09-18,16.0
2015-09-19,11.0
2015-09-20,7.0
2015-09-21,15.0
2015-09-22,12.0
2015-09-23,15.0
2015-09-24,6.0
2015-09-25,20.0
2015-09-26,7.0
2015-09-27,4.0
2015-09-28,15.0
2015-09-29,27.0
2015-09-30,18.0
2015-10-01,12.0
2015-10-02,10.0
2015-10-03,4.0
2015-10-04,0.0
2015-10-05,9.0
2015-10-06,6.0
2015-10-07,12.0
2015-10-08,6.0
2015-10-09,3.0
2015-10-10,14.0
2015-10-11,0.0
2015-10-12,19.0
2015-10-13,6.0
2015-10-14,21.0
2015-10-15,9.0
2015-10-16,9.0
2015-10-17,7.0
2015-10-18,14.0
2015-10-19,12.0
2015-10-20,12.0
2015-10-21,6.0
2015-10-22,15.0
2015-10-23,22.0
2015-10-24,11.0
2015-10-25,10.0
2015-10-26,9.0
2015-10-27,12.0
2015-10-28,28.0
2015-10-29,4.0
2015-10-30,21.0
2015-10-31,5.0
2015-11-01,5.0
2015-11-02,16.0
2015-11-03,20.0
2015-11-04,20.0
2015-11-05,16.0
2015-11-06,4.0
2015-11-07,9.0
2015-11-08,18.0
2015-11-09,20.0
2015-11-10,12.0
2015-11-11,12.0
2015-11-12,25.0
2015-11-13,4.0
2015-11-14,0.0
2015-11-15,5.0
2015-11-16,24.0
2015-11-17,20.0
2015-11-18,4.0
2015-11-19,16.0
2015-11-20,21.0
2015-11-21,18.0
2015-11-22,14.0
2015-11-23,8.0
2015-11-24,16.0
2015-11-25,12.0
2015-11-26,8.0
2015-11-27,13.0
2015-11-28,5.0
2015-11-29,9.0
2015-11-30,23.0
2015-12-01,16.0
2015-12-02,16.0
2015-12-03,16.0
2015-12-04,24.0
2015-12-05,24.0
2015-12-06,14.0
2015-12-07,12.0
2015-12-08,12.0
2015-12-09,20.0
2015-12-10,12.0
2015-12-11,4.0
2015-12-12,19.0
2015-12-13,9.0
2015-12-14,20.0
2015-12-15,21.0
2015-12-16,12.0
2015-12-17,21.0
2015-12-18,4.0
2015-12-19,0.0
2015-12-20,10.0
2015-12-21,17.0
2015-12-22,13.0
2015-12-23,4.0
2015-12-24,10.0
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,5.0
2015-12-28,9.0
2015-12-29,7.0
2015-12-30,13.0
2015-12-31,15.0
2016-01-01,0.0
2016-01-02,8.0
2016-01-03,7.0
2016-01-04,13.0
2016-01-05,19.0
2016-01-06,26.0
2016-01-07,26.0
2016-01-08,20.0
2016-01-09,22.0
2016-01-10,0.0
2016-01-11,12.0
2016-01-12,7.0
2016-01-13,32.0
2016-01-14,7.0
2016-01-15,7.0
2016-01-16,0.0
2016-01-17,7.0
2016-01-18,19.0
2016-01-19,26.0
2016-01-20,7.0
2016-01-21,26.0
2016-01-22,33.0
2016-01-23,22.0
2016-01-24,14.0
2016-01-25,6.0
2016-01-26,25.0
2016-01-27,26.0
2016-01-28,26.0
2016-01-29,20.0
2016-01-30,22.0
2016-01-31,21.0
2016-02-01,18.0
2016-02-02,0.0
2016-02-03,19.0
2016-02-04,12.0
2016-02-05,27.0
2016-02-06,15.0
2016-02-07,0.0
2016-02-08,32.0
2016-02-09,19.0
2016-02-10,25.0
2016-02-11,32.0
2016-02-12,13.0
2016-02-13,21.0
2016-02-14,7.0
2016-02-15,12.0
2016-02-16,31.0
2016-02-17,18.0
2016-02-18,31.0
2016-02-19,12.0
2016-02-20,21.0
2016-02-21,0.0
2016-02-22,31.0
2016-02-23,43.0
2016-02-24,43.0
2016-02-25,38.0
2016-02-26,13.0
2016-02-27,14.0
2016-02-28,14.0
2016-02-29,48.0
2016-03-01,72.0
2016-03-02,49.0
2016-03-03,37.0
2016-03-04,26.0
2016-03-05,14.0
2016-03-06,28.0
2016-03-07,25.0
2016-03-08,37.0
2016-03-09,49.0
2016-03-10,13.0
2016-03-11,65.0
2016-03-12,43.0
2016-03-13,28.0
2016-03-14,50.0
2016-03-15,74.0
2016-03-16,49.0
2016-03-17,38.0
2016-03-18,52.0
2016-03-19,28.0
2016-03-20,28.0
2016-03-21,50.0
2016-03-22,37.0
2016-03-23,64.0
2016-03-24,39.0
2016-03-25,28.0
2016-03-26,29.0
2016-03-27,30.0
2016-03-28,26.0
2016-03-29,25.0
2016-03-30,25.0
2016-03-31,50.0
2016-04-01,65.0
2016-04-02,29.0
2016-04-03,42.0
2016-04-04,49.0
2016-04-05,50.0
2016-04-06,25.0
2016-04-07,62.0
2016-04-08,52.0
2016-04-09,58.0
2016-04-10,42.0
2016-04-11,37.0
2016-04-12,87.0
2016-04-13,100.0
2016-04-14,76.0
2016-04-15,26.0
2016-04-16,0.0
2016-04-17,42.0
2016-04-18,63.0
2016-04-19,62.0
2016-04-20,100.0
2016-04-21,39.0
2016-04-22,13.0
2016-04-23,0.0
2016-04-24,28.0
2016-04-25,62.0
2016-04-26,49.0
2016-04-27,50.0
2016-04-28,63.0
2016-04-29,65.0
2016-04-30,29.0
2016-05-01,0.0
2016-05-02,17.0
2016-05-03,12.0
2016-05-04,5.0
2016-05-05,7.0
2016-05-06,15.0
2016-05-07,11.0
2016-05-08,0.0
2016-05-09,17.0
2016-05-10,26.0
2016-05-11,14.0
2016-05-12,5.0
2016-05-13,25.0
2016-05-14,5.0
2016-05-15,3.0
2016-05-16,9.0
2016-05-17,14.0
2016-05-18,12.0
2016-05-19,10.0
2016-05-20,7.0
2016-05-21,3.0
2016-05-22,8.0
2016-05-23,12.0
2016-05-24,10.0
2016-05-25,10.0
2016-05-26,10.0
2016-05-27,5.0
2016-05-28,3.0
2016-05-29,6.0
2016-05-30,12.0
2016-05-31,14.0
2016-06-01,0.0
2016-06-02,15.0
2016-06-03,10.0
2016-06-04,6.0
2016-06-05,0.0
2016-06-06,7.0
2016-06-07,14.0
2016-06-08,7.0
2016-06-09,5.0
2016-06-10,5.0
2016-06-11,0.0
2016-06-12,5.0
2016-06-13,7.0
2016-06-14,7.0
2016-06-15,7.0
2016-06-16,2.0
2016-06-17,5.0
2016-06-18,0.0
2016-06-19,9.0
2016-06-20,10.0
2016-06-21,2.0
2016-06-22,10.0
2016-06-23,10.0
2016-06-24,3.0
2016-06-25,0.0
2016-06-26,15.0
2016-06-27,0.0
2016-06-28,10.0
2016-06-29,3.0
2016-06-30,7.0
2016-07-01,3.0
2016-07-02,0.0
2016-07-03,8.0
2016-07-04,0.0
2016-07-05,7.0
2016-07-06,3.0
2016-07-07,11.0
2016-07-08,3.0
2016-07-09,4.0
2016-07-10,15.0
2016-07-11,3.0
2016-07-12,16.0
2016-07-13,7.0
2016-07-14,16.0
2016-07-15,11.0
2016-07-16,4.0
2016-07-17,0.0
2016-07-18,7.0
2016-07-19,27.0
2016-07-20,10.0
2016-07-21,7.0
2016-07-22,7.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,3.0
2016-07-26,10.0
2016-07-27,17.0
2016-07-28,3.0
2016-07-29,0.0
2016-07-30,4.0
2016-07-31,4.0
2016-08-01,7.0
2016-08-02,3.0
2016-08-03,7.0
2016-08-04,10.0
2016-08-05,7.0
2016-08-06,4.0
2016-08-07,0.0
2016-08-08,14.0
2016-08-09,7.0
2016-08-10,7.0
2016-08-11,3.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,4.0
2016-08-15,15.0
2016-08-16,7.0
2016-08-17,0.0
2016-08-18,4.0
2016-08-19,4.0
2016-08-20,0.0
2016-08-21,4.0
2016-08-22,14.0
2016-08-23,14.0
2016-08-24,3.0
2016-08-25,0.0
2016-08-26,11.0
2016-08-27,6.0
2016-08-28,18.0
2016-08-29,15.0
2016-08-30,10.0
2016-08-31,20.0
2016-09-01,10.0
2016-09-02,5.0
2016-09-03,0.0
2016-09-04,6.0
2016-09-05,5.0
2016-09-06,29.0
2016-09-07,10.0
2016-09-08,10.0
2016-09-09,26.0
2016-09-10,6.0
2016-09-11,6.0
2016-09-12,20.0
2016-09-13,15.0
2016-09-14,25.0
2016-09-15,30.0
2016-09-16,5.0
2016-09-17,11.0
2016-09-18,0.0
2016-09-19,5.0
2016-09-20,14.0
2016-09-21,10.0
2016-09-22,10.0
2016-09-23,26.0
2016-09-24,17.0
2016-09-25,11.0
2016-09-26,5.0
2016-09-27,24.0
2016-09-28,24.0
2016-09-29,29.0
2016-09-30,15.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,24.0
2016-10-04,14.0
2016-10-05,19.0
2016-10-06,24.0
2016-10-07,15.0
2016-10-08,6.0
2016-10-09,0.0
2016-10-10,10.0
2016-10-11,14.0
2016-10-12,25.0
2016-10-13,14.0
2016-10-14,10.0
2016-10-15,6.0
2016-10-16,11.0
2016-10-17,38.0
2016-10-18,14.0
2016-10-19,14.0
2016-10-20,14.0
2016-10-21,45.0
2016-10-22,0.0
2016-10-23,16.0
2016-10-24,19.0
2016-10-25,5.0
2016-10-26,19.0
2016-10-27,24.0
2016-10-28,10.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,30.0
2016-11-01,10.0
2016-11-02,48.0
2016-11-03,58.0
2016-11-04,21.0
2016-11-05,11.0
2016-11-06,22.0
2016-11-07,29.0
2016-11-08,66.0
2016-11-09,53.0
2016-11-10,88.0
2016-11-11,51.0
2016-11-12,11.0
2016-11-13,22.0
2016-11-14,29.0
2016-11-15,57.0
2016-11-16,47.0
2016-11-17,29.0
2016-11-18,100.0
2016-11-19,10.0
2016-11-20,0.0
2016-11-21,38.0
2016-11-22,57.0
2016-11-23,20.0
2016-11-24,9.0
2016-11-25,9.0
2016-11-26,43.0
2016-11-27,10.0
2016-11-28,44.0
2016-11-29,36.0
2016-11-30,36.0
2016-12-01,56.0
2016-12-02,20.0
2016-12-03,31.0
2016-12-04,20.0
2016-12-05,34.0
2016-12-06,9.0
2016-12-07,37.0
2016-12-08,93.0
2016-12-09,48.0
2016-12-10,54.0
2016-12-11,0.0
2016-12-12,18.0
2016-12-13,55.0
2016-12-14,28.0
2016-12-15,28.0
2016-12-16,20.0
2016-12-17,11.0
2016-12-18,10.0
2016-12-19,19.0
2016-12-20,48.0
2016-12-21,9.0
2016-12-22,20.0
2016-12-23,10.0
2016-12-24,11.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,20.0
2016-12-28,20.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,11.0
2017-01-01,4.0
2017-01-02,10.0
2017-01-03,9.0
2017-01-04,6.0
2017-01-05,26.0
2017-01-06,3.0
2017-01-07,0.0
2017-01-08,10.0
2017-01-09,12.0
2017-01-10,12.0
2017-01-11,6.0
2017-01-12,12.0
2017-01-13,6.0
2017-01-14,3.0
2017-01-15,3.0
2017-01-16,12.0
2017-01-17,6.0
2017-01-18,9.0
2017-01-19,6.0
2017-01-20,0.0
2017-01-21,10.0
2017-01-22,0.0
2017-01-23,21.0
2017-01-24,57.0
2017-01-25,100.0
2017-01-26,42.0
2017-01-27,19.0
2017-01-28,24.0
2017-01-29,24.0
2017-01-30,18.0
2017-01-31,6.0
2017-02-01,35.0
2017-02-02,24.0
2017-02-03,12.0
2017-02-04,14.0
2017-02-05,20.0
2017-02-06,26.0
2017-02-07,26.0
2017-02-08,35.0
2017-02-09,9.0
2017-02-10,16.0
2017-02-11,3.0
2017-02-12,3.0
2017-02-13,18.0
2017-02-14,20.0
2017-02-15,24.0
2017-02-16,24.0
2017-02-17,30.0
2017-02-18,7.0
2017-02-19,10.0
2017-02-20,12.0
2017-02-21,24.0
2017-02-22,15.0
2017-02-23,18.0
2017-02-24,25.0
2017-02-25,7.0
2017-02-26,7.0
2017-02-27,31.0
2017-02-28,19.0
2017-03-01,11.0
2017-03-02,41.0
2017-03-03,8.0
2017-03-04,36.0
2017-03-05,44.0
2017-03-06,60.0
2017-03-07,40.0
2017-03-08,12.0
2017-03-09,19.0
2017-03-10,16.0
2017-03-11,13.0
2017-03-12,35.0
2017-03-13,21.0
2017-03-14,20.0
2017-03-15,27.0
2017-03-16,16.0
2017-03-17,33.0
2017-03-18,4.0
2017-03-19,9.0
2017-03-20,28.0
2017-03-21,43.0
2017-03-22,35.0
2017-03-23,16.0
2017-03-24,44.0
2017-03-25,9.0
2017-03-26,4.0
2017-03-27,20.0
2017-03-28,24.0
2017-03-29,48.0
2017-03-30,32.0
2017-03-31,21.0
2017-04-01,4.0
2017-04-02,4.0
2017-04-03,31.0
2017-04-04,20.0
2017-04-05,39.0
2017-04-06,16.0
2017-04-07,24.0
2017-04-08,9.0
2017-04-09,23.0
2017-04-10,24.0
2017-04-11,44.0
2017-04-12,32.0
2017-04-13,17.0
2017-04-14,13.0
2017-04-15,9.0
2017-04-16,0.0
2017-04-17,44.0
2017-04-18,27.0
2017-04-19,19.0
2017-04-20,28.0
2017-04-21,41.0
2017-04-22,13.0
2017-04-23,13.0
2017-04-24,35.0
2017-04-25,20.0
2017-04-26,39.0
2017-04-27,35.0
2017-04-28,28.0
2017-04-29,19.0
2017-04-30,6.0
2017-05-01,12.0
2017-05-02,46.0
2017-05-03,52.0
2017-05-04,52.0
2017-05-05,24.0
2017-05-06,6.0
2017-05-07,26.0
2017-05-08,30.0
2017-05-09,36.0
2017-05-10,0.0
2017-05-11,36.0
2017-05-12,24.0
2017-05-13,6.0
2017-05-14,14.0
2017-05-15,32.0
2017-05-16,32.0
2017-05-17,38.0
2017-05-18,18.0
2017-05-19,40.0
2017-05-20,22.0
2017-05-21,8.0
2017-05-22,18.0
2017-05-23,42.0
2017-05-24,44.0
2017-05-25,12.0
2017-05-26,6.0
2017-05-27,8.0
2017-05-28,22.0
2017-05-29,6.0
2017-05-30,18.0
2017-05-31,18.0
2017-06-01,46.0
2017-06-02,26.0
2017-06-03,8.0
2017-06-04,8.0
2017-06-05,44.0
2017-06-06,18.0
2017-06-07,36.0
2017-06-08,6.0
2017-06-09,20.0
2017-06-10,8.0
2017-06-11,14.0
2017-06-12,30.0
2017-06-13,18.0
2017-06-14,30.0
2017-06-15,12.0
2017-06-16,6.0
2017-06-17,0.0
2017-06-18,8.0
2017-06-19,38.0
2017-06-20,6.0
2017-06-21,24.0
2017-06-22,6.0
2017-06-23,6.0
2017-06-24,14.0
2017-06-25,14.0
2017-06-26,20.0
2017-06-27,38.0
2017-06-28,12.0
2017-06-29,26.0
2017-06-30,20.0
2017-07-01,28.0
2017-07-02,44.0
2017-07-03,64.0
2017-07-04,28.0
2017-07-05,0.0
2017-07-06,24.0
2017-07-07,28.0
2017-07-08,28.0
2017-07-09,28.0
2017-07-10,24.0
2017-07-11,64.0
2017-07-12,64.0
2017-07-13,24.0
2017-07-14,28.0
2017-07-15,16.0
2017-07-16,28.0
2017-07-17,12.0
2017-07-18,36.0
2017-07-19,24.0
2017-07-20,24.0
2017-07-21,0.0
2017-07-22,16.0
2017-07-23,16.0
2017-07-24,12.0
2017-07-25,36.0
2017-07-26,24.0
2017-07-27,24.0
2017-07-28,28.0
2017-07-29,28.0
2017-07-30,28.0
2017-07-31,48.0
2017-08-01,24.0
2017-08-02,60.0
2017-08-03,36.0
2017-08-04,40.0
2017-08-05,16.0
2017-08-06,28.0
2017-08-07,24.0
2017-08-08,60.0
2017-08-09,36.0
2017-08-10,12.0
2017-08-11,24.0
2017-08-12,28.0
2017-08-13,16.0
2017-08-14,24.0
2017-08-15,12.0
2017-08-16,24.0
2017-08-17,48.0
2017-08-18,12.0
2017-08-19,28.0
2017-08-20,28.0
2017-08-21,72.0
2017-08-22,36.0
2017-08-23,36.0
2017-08-24,24.0
2017-08-25,28.0
2017-08-26,0.0
2017-08-27,12.0
2017-08-28,36.0
2017-08-29,24.0
2017-08-30,84.0
2017-08-31,48.0
2017-09-01,6.0
2017-09-02,2.0
2017-09-03,0.0
2017-09-04,6.0
2017-09-05,9.0
2017-09-06,11.0
2017-09-07,8.0
2017-09-08,6.0
2017-09-09,2.0
2017-09-10,4.0
2017-09-11,4.0
2017-09-12,8.0
2017-09-13,11.0
2017-09-14,8.0
2017-09-15,6.0
2017-09-16,7.0
2017-09-17,4.0
2017-09-18,11.0
2017-09-19,2.0
2017-09-20,11.0
2017-09-21,2.0
2017-09-22,4.0
2017-09-23,2.0
2017-09-24,4.0
2017-09-25,6.0
2017-09-26,9.0
2017-09-27,6.0
2017-09-28,4.0
2017-09-29,4.0
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,0.0
2017-10-03,4.0
2017-10-04,4.0
2017-10-05,10.0
2017-10-06,10.0
2017-10-07,0.0
2017-10-08,7.0
2017-10-09,6.0
2017-10-10,26.0
2017-10-11,15.0
2017-10-12,15.0
2017-10-13,18.0
2017-10-14,4.0
2017-10-15,4.0
2017-10-16,2.0
2017-10-17,11.0
2017-10-18,8.0
2017-10-19,13.0
2017-10-20,6.0
2017-10-21,0.0
2017-10-22,6.0
2017-10-23,13.0
2017-10-24,13.0
2017-10-25,11.0
2017-10-26,11.0
2017-10-27,2.0
2017-10-28,2.0
2017-10-29,0.0
2017-10-30,12.0
2017-10-31,5.0
2017-11-01,13.0
2017-11-02,2.0
2017-11-03,10.0
2017-11-04,3.0
2017-11-05,11.0
2017-11-06,10.0
2017-11-07,10.0
2017-11-08,12.0
2017-11-09,12.0
2017-11-10,10.0
2017-11-11,8.0
2017-11-12,6.0
2017-11-13,5.0
2017-11-14,10.0
2017-11-15,2.0
2017-11-16,22.0
2017-11-17,8.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,15.0
2017-11-21,10.0
2017-11-22,0.0
2017-11-23,2.0
2017-11-24,5.0
2017-11-25,3.0
2017-11-26,0.0
2017-11-27,17.0
2017-11-28,10.0
2017-11-29,12.0
2017-11-30,12.0
2017-12-01,8.0
2017-12-02,3.0
2017-12-03,6.0
2017-12-04,10.0
2017-12-05,15.0
2017-12-06,12.0
2017-12-07,5.0
2017-12-08,8.0
2017-12-09,3.0
2017-12-10,6.0
2017-12-11,7.0
2017-12-12,10.0
2017-12-13,19.0
2017-12-14,7.0
2017-12-15,13.0
2017-12-16,3.0
2017-12-17,0.0
2017-12-18,12.0
2017-12-19,8.0
2017-12-20,5.0
2017-12-21,11.0
2017-12-22,8.0
2017-12-23,3.0
2017-12-24,3.0
2017-12-25,3.0
2017-12-26,0.0
2017-12-27,5.0
2017-12-28,11.0
2017-12-29,6.0
2017-12-30,4.0
2017-12-31,5.0
2018-01-01,0.0
2018-01-02,4.0
2018-01-03,15.0
2018-01-04,7.0
2018-01-05,7.0
2018-01-06,8.0
2018-01-07,12.0
2018-01-08,4.0
2018-01-09,14.0
2018-01-10,7.0
2018-01-11,26.0
2018-01-12,7.0
2018-01-13,4.0
2018-01-14,8.0
2018-01-15,18.0
2018-01-16,14.0
2018-01-17,4.0
2018-01-18,14.0
2018-01-19,11.0
2018-01-20,0.0
2018-01-21,12.0
2018-01-22,7.0
2018-01-23,0.0
2018-01-24,18.0
2018-01-25,7.0
2018-01-26,15.0
2018-01-27,8.0
2018-01-28,4.0
2018-01-29,18.0
2018-01-30,18.0
2018-01-31,0.0
2018-02-01,7.0
2018-02-02,18.0
2018-02-03,8.0
2018-02-04,20.0
2018-02-05,10.0
2018-02-06,10.0
2018-02-07,7.0
2018-02-08,21.0
2018-02-09,7.0
2018-02-10,4.0
2018-02-11,4.0
2018-02-12,4.0
2018-02-13,40.0
2018-02-14,18.0
2018-02-15,11.0
2018-02-16,11.0
2018-02-17,8.0
2018-02-18,8.0
2018-02-19,4.0
2018-02-20,7.0
2018-02-21,7.0
2018-02-22,7.0
2018-02-23,15.0
2018-02-24,0.0
2018-02-25,12.0
2018-02-26,18.0
2018-02-27,10.0
2018-02-28,21.0
2018-03-01,21.0
2018-03-02,44.0
2018-03-03,32.0
2018-03-04,16.0
2018-03-05,21.0
2018-03-06,55.0
2018-03-07,28.0
2018-03-08,15.0
2018-03-09,38.0
2018-03-10,8.0
2018-03-11,8.0
2018-03-12,7.0
2018-03-13,42.0
2018-03-14,14.0
2018-03-15,35.0
2018-03-16,15.0
2018-03-17,0.0
2018-03-18,16.0
2018-03-19,35.0
2018-03-20,49.0
2018-03-21,56.0
2018-03-22,15.0
2018-03-23,22.0
2018-03-24,17.0
2018-03-25,8.0
2018-03-26,22.0
2018-03-27,50.0
2018-03-28,0.0
2018-03-29,76.0
2018-03-30,16.0
2018-03-31,17.0
2018-04-01,17.0
2018-04-02,45.0
2018-04-03,35.0
2018-04-04,50.0
2018-04-05,29.0
2018-04-06,45.0
2018-04-07,17.0
2018-04-08,32.0
2018-04-09,49.0
2018-04-10,42.0
2018-04-11,34.0
2018-04-12,100.0
2018-04-13,45.0
2018-04-14,17.0
2018-04-15,24.0
2018-04-16,28.0
2018-04-17,28.0
2018-04-18,22.0
2018-04-19,66.0
2018-04-20,38.0
2018-04-21,17.0
2018-04-22,8.0
2018-04-23,42.0
2018-04-24,34.0
2018-04-25,34.0
2018-04-26,43.0
2018-04-27,45.0
2018-04-28,0.0
2018-04-29,0.0
2018-04-30,15.0
2018-05-01,7.0
2018-05-02,27.0
2018-05-03,20.0
2018-05-04,7.0
2018-05-05,20.0
2018-05-06,4.0
2018-05-07,24.0
2018-05-08,37.0
2018-05-09,10.0
2018-05-10,14.0
2018-05-11,10.0
2018-05-12,8.0
2018-05-13,12.0
2018-05-14,10.0
2018-05-15,26.0
2018-05-16,3.0
2018-05-17,17.0
2018-05-18,3.0
2018-05-19,0.0
2018-05-20,8.0
2018-05-21,17.0
2018-05-22,17.0
2018-05-23,17.0
2018-05-24,17.0
2018-05-25,22.0
2018-05-26,8.0
2018-05-27,4.0
2018-05-28,0.0
2018-05-29,10.0
2018-05-30,14.0
2018-05-31,0.0
2018-06-01,7.0
2018-06-02,4.0
2018-06-03,8.0
2018-06-04,17.0
2018-06-05,7.0
2018-06-06,21.0
2018-06-07,24.0
2018-06-08,28.0
2018-06-09,4.0
2018-06-10,12.0
2018-06-11,10.0
2018-06-12,12.0
2018-06-13,6.0
2018-06-14,0.0
2018-06-15,7.0
2018-06-16,0.0
2018-06-17,0.0
2018-06-18,13.0
2018-06-19,7.0
2018-06-20,10.0
2018-06-21,13.0
2018-06-22,3.0
2018-06-23,0.0
