date,environmental protection agency
2015-06-07,23
2015-06-08,9
2015-06-09,74
2015-06-10,57
2015-06-11,19
2015-06-12,50
2015-06-13,0
2015-06-14,0
2015-06-15,38
2015-06-16,46
2015-06-17,28
2015-06-18,29
2015-06-19,30
2015-06-20,12
2015-06-21,12
2015-06-22,9
2015-06-23,38
2015-06-24,19
2015-06-25,19
2015-06-26,30
2015-06-27,35
2015-06-28,0
2015-06-29,29
2015-06-30,58
2015-07-01,29
2015-07-02,49
2015-07-03,52
2015-07-04,12
2015-07-05,12
2015-07-06,48
2015-07-07,19
2015-07-08,48
2015-07-09,39
2015-07-10,0
2015-07-11,23
2015-07-12,23
2015-07-13,19
2015-07-14,29
2015-07-15,19
2015-07-16,0
2015-07-17,21
2015-07-18,0
2015-07-19,25
2015-07-20,31
2015-07-21,10
2015-07-22,29
2015-07-23,48
2015-07-24,20
2015-07-25,11
2015-07-26,35
2015-07-27,29
2015-07-28,19
2015-07-29,19
2015-07-30,0
2015-07-31,20
2015-08-01,0
2015-08-02,0
2015-08-03,77
2015-08-04,19
2015-08-05,39
2015-08-06,20
2015-08-07,20
2015-08-08,11
2015-08-09,23
2015-08-10,9
2015-08-11,67
2015-08-12,19
2015-08-13,88
2015-08-14,40
2015-08-15,23
2015-08-16,11
2015-08-17,38
2015-08-18,47
2015-08-19,67
2015-08-20,48
2015-08-21,20
2015-08-22,11
2015-08-23,0
2015-08-24,56
2015-08-25,18
2015-08-26,47
2015-08-27,38
2015-08-28,29
2015-08-29,0
2015-08-30,0
2015-08-31,27
2015-09-01,22
2015-09-02,23
2015-09-03,58
2015-09-04,24
2015-09-05,14
2015-09-06,14
2015-09-07,36
2015-09-08,23
2015-09-09,80
2015-09-10,23
2015-09-11,59
2015-09-12,13
2015-09-13,26
2015-09-14,22
2015-09-15,11
2015-09-16,34
2015-09-17,34
2015-09-18,59
2015-09-19,40
2015-09-20,26
2015-09-21,55
2015-09-22,45
2015-09-23,56
2015-09-24,23
2015-09-25,72
2015-09-26,27
2015-09-27,13
2015-09-28,55
2015-09-29,100
2015-09-30,67
2015-10-01,45
2015-10-02,35
2015-10-03,13
2015-10-04,0
2015-10-05,33
2015-10-06,22
2015-10-07,45
2015-10-08,22
2015-10-09,12
2015-10-10,53
2015-10-11,0
2015-10-12,69
2015-10-13,22
2015-10-14,76
2015-10-15,33
2015-10-16,34
2015-10-17,26
2015-10-18,51
2015-10-19,44
2015-10-20,44
2015-10-21,22
2015-10-22,55
2015-10-23,82
2015-10-24,39
2015-10-25,38
2015-10-26,33
2015-10-27,43
2015-10-28,76
2015-10-29,11
2015-10-30,58
2015-10-31,13
2015-11-01,13
2015-11-02,44
2015-11-03,54
2015-11-04,55
2015-11-05,44
2015-11-06,11
2015-11-07,26
2015-11-08,50
2015-11-09,55
2015-11-10,33
2015-11-11,34
2015-11-12,68
2015-11-13,12
2015-11-14,0
2015-11-15,13
2015-11-16,66
2015-11-17,54
2015-11-18,11
2015-11-19,44
2015-11-20,57
2015-11-21,51
2015-11-22,38
2015-11-23,22
2015-11-24,43
2015-11-25,33
2015-11-26,23
2015-11-27,35
2015-11-28,13
2015-11-29,25
2015-11-30,64
2015-12-01,43
2015-12-02,43
2015-12-03,45
2015-12-04,67
2015-12-05,66
2015-12-06,38
2015-12-07,33
2015-12-08,33
2015-12-09,55
2015-12-10,33
2015-12-11,12
2015-12-12,52
2015-12-13,25
2015-12-14,55
2015-12-15,57
2015-12-16,34
2015-12-17,58
2015-12-18,12
2015-12-19,0
2015-12-20,27
2015-12-21,47
2015-12-22,36
2015-12-23,12
2015-12-24,28
2015-12-25,0
2015-12-26,0
2015-12-27,14
2015-12-28,24
2015-12-29,12
2015-12-30,24
2015-12-31,27
2016-01-01,0
2016-01-02,14
2016-01-03,13
2016-01-04,24
2016-01-05,35
2016-01-06,48
2016-01-07,47
2016-01-08,36
2016-01-09,40
2016-01-10,0
2016-01-11,23
2016-01-12,12
2016-01-13,59
2016-01-14,12
2016-01-15,12
2016-01-16,0
2016-01-17,13
2016-01-18,35
2016-01-19,47
2016-01-20,12
2016-01-21,47
2016-01-22,61
2016-01-23,40
2016-01-24,26
2016-01-25,11
2016-01-26,46
2016-01-27,47
2016-01-28,47
2016-01-29,36
2016-01-30,40
2016-01-31,39
2016-02-01,34
2016-02-02,0
2016-02-03,35
2016-02-04,23
2016-02-05,49
2016-02-06,27
2016-02-07,0
2016-02-08,59
2016-02-09,35
2016-02-10,46
2016-02-11,58
2016-02-12,24
2016-02-13,39
2016-02-14,13
2016-02-15,23
2016-02-16,57
2016-02-17,34
2016-02-18,57
2016-02-19,23
2016-02-20,39
2016-02-21,0
2016-02-22,57
2016-02-23,79
2016-02-24,80
2016-02-25,69
2016-02-26,24
2016-02-27,26
2016-02-28,25
2016-02-29,44
2016-03-01,66
2016-03-02,45
2016-03-03,34
2016-03-04,24
2016-03-05,13
2016-03-06,26
2016-03-07,23
2016-03-08,34
2016-03-09,45
2016-03-10,12
2016-03-11,60
2016-03-12,40
2016-03-13,26
2016-03-14,46
2016-03-15,68
2016-03-16,45
2016-03-17,35
2016-03-18,48
2016-03-19,26
2016-03-20,26
2016-03-21,46
2016-03-22,34
2016-03-23,59
2016-03-24,36
2016-03-25,26
2016-03-26,27
2016-03-27,28
2016-03-28,24
2016-03-29,23
2016-03-30,23
2016-03-31,46
2016-04-01,60
2016-04-02,27
2016-04-03,39
2016-04-04,45
2016-04-05,46
2016-04-06,23
2016-04-07,57
2016-04-08,48
2016-04-09,53
2016-04-10,39
2016-04-11,34
2016-04-12,80
2016-04-13,92
2016-04-14,70
2016-04-15,24
2016-04-16,0
2016-04-17,39
2016-04-18,58
2016-04-19,57
2016-04-20,92
2016-04-21,36
2016-04-22,12
2016-04-23,0
2016-04-24,26
2016-04-25,57
2016-04-26,45
2016-04-27,46
2016-04-28,58
2016-04-29,60
2016-04-30,27
2016-05-01,0
2016-05-02,66
2016-05-03,46
2016-05-04,18
2016-05-05,29
2016-05-06,59
2016-05-07,44
2016-05-08,0
2016-05-09,65
2016-05-10,100
2016-05-11,55
2016-05-12,19
2016-05-13,97
2016-05-14,21
2016-05-15,11
2016-05-16,36
2016-05-17,54
2016-05-18,46
2016-05-19,37
2016-05-20,29
2016-05-21,11
2016-05-22,32
2016-05-23,46
2016-05-24,37
2016-05-25,37
2016-05-26,39
2016-05-27,20
2016-05-28,11
2016-05-29,22
2016-05-30,48
2016-05-31,55
2016-06-01,0
2016-06-02,57
2016-06-03,39
2016-06-04,22
2016-06-05,0
2016-06-06,28
2016-06-07,56
2016-06-08,28
2016-06-09,19
2016-06-10,20
2016-06-11,0
2016-06-12,21
2016-06-13,28
2016-06-14,28
2016-06-15,28
2016-06-16,9
2016-06-17,19
2016-06-18,0
2016-06-19,33
2016-06-20,38
2016-06-21,9
2016-06-22,37
2016-06-23,29
2016-06-24,10
2016-06-25,0
2016-06-26,44
2016-06-27,0
2016-06-28,28
2016-06-29,10
2016-06-30,19
2016-07-01,10
2016-07-02,0
2016-07-03,22
2016-07-04,0
2016-07-05,20
2016-07-06,10
2016-07-07,31
2016-07-08,10
2016-07-09,12
2016-07-10,45
2016-07-11,10
2016-07-12,48
2016-07-13,20
2016-07-14,47
2016-07-15,31
2016-07-16,11
2016-07-17,0
2016-07-18,20
2016-07-19,79
2016-07-20,30
2016-07-21,20
2016-07-22,20
2016-07-23,0
2016-07-24,0
2016-07-25,10
2016-07-26,29
2016-07-27,49
2016-07-28,10
2016-07-29,0
2016-07-30,11
2016-07-31,11
2016-08-01,20
2016-08-02,10
2016-08-03,20
2016-08-04,30
2016-08-05,21
2016-08-06,12
2016-08-07,0
2016-08-08,40
2016-08-09,20
2016-08-10,20
2016-08-11,10
2016-08-12,0
2016-08-13,0
2016-08-14,12
2016-08-15,43
2016-08-16,20
2016-08-17,0
2016-08-18,11
2016-08-19,11
2016-08-20,0
2016-08-21,12
2016-08-22,41
2016-08-23,41
2016-08-24,10
2016-08-25,0
2016-08-26,21
2016-08-27,11
2016-08-28,34
2016-08-29,29
2016-08-30,19
2016-08-31,38
2016-09-01,19
2016-09-02,10
2016-09-03,0
2016-09-04,11
2016-09-05,10
2016-09-06,57
2016-09-07,19
2016-09-08,19
2016-09-09,51
2016-09-10,11
2016-09-11,11
2016-09-12,39
2016-09-13,29
2016-09-14,48
2016-09-15,58
2016-09-16,10
2016-09-17,22
2016-09-18,0
2016-09-19,9
2016-09-20,28
2016-09-21,19
2016-09-22,19
2016-09-23,50
2016-09-24,33
2016-09-25,21
2016-09-26,9
2016-09-27,47
2016-09-28,47
2016-09-29,56
2016-09-30,29
2016-10-01,0
2016-10-02,0
2016-10-03,47
2016-10-04,28
2016-10-05,37
2016-10-06,47
2016-10-07,29
2016-10-08,11
2016-10-09,0
2016-10-10,19
2016-10-11,28
2016-10-12,48
2016-10-13,28
2016-10-14,19
2016-10-15,11
2016-10-16,21
2016-10-17,74
2016-10-18,27
2016-10-19,28
2016-10-20,28
2016-10-21,87
2016-10-22,0
2016-10-23,32
2016-10-24,37
2016-10-25,9
2016-10-26,37
2016-10-27,47
2016-10-28,20
2016-10-29,0
2016-10-30,0
2016-10-31,29
2016-11-01,10
2016-11-02,47
2016-11-03,56
2016-11-04,20
2016-11-05,11
2016-11-06,21
2016-11-07,28
2016-11-08,64
2016-11-09,51
2016-11-10,85
2016-11-11,49
2016-11-12,11
2016-11-13,21
2016-11-14,28
2016-11-15,55
2016-11-16,46
2016-11-17,28
2016-11-18,97
2016-11-19,10
2016-11-20,0
2016-11-21,37
2016-11-22,55
2016-11-23,19
2016-11-24,9
2016-11-25,9
2016-11-26,42
2016-11-27,10
2016-11-28,43
2016-11-29,35
2016-11-30,35
2016-12-01,54
2016-12-02,19
2016-12-03,30
2016-12-04,19
2016-12-05,33
2016-12-06,9
2016-12-07,36
2016-12-08,90
2016-12-09,47
2016-12-10,52
2016-12-11,0
2016-12-12,17
2016-12-13,53
2016-12-14,27
2016-12-15,27
2016-12-16,19
2016-12-17,11
2016-12-18,10
2016-12-19,18
2016-12-20,47
2016-12-21,9
2016-12-22,19
2016-12-23,10
2016-12-24,11
2016-12-25,0
2016-12-26,0
2016-12-27,19
2016-12-28,19
2016-12-29,0
2016-12-30,0
2016-12-31,11
2017-01-01,4
2017-01-02,10
2017-01-03,9
2017-01-04,6
2017-01-05,26
2017-01-06,3
2017-01-07,0
2017-01-08,10
2017-01-09,12
2017-01-10,12
2017-01-11,6
2017-01-12,12
2017-01-13,6
2017-01-14,3
2017-01-15,3
2017-01-16,12
2017-01-17,6
2017-01-18,9
2017-01-19,6
2017-01-20,0
2017-01-21,10
2017-01-22,0
2017-01-23,21
2017-01-24,57
2017-01-25,100
2017-01-26,42
2017-01-27,19
2017-01-28,24
2017-01-29,24
2017-01-30,18
2017-01-31,6
2017-02-01,35
2017-02-02,24
2017-02-03,12
2017-02-04,14
2017-02-05,20
2017-02-06,26
2017-02-07,26
2017-02-08,35
2017-02-09,9
2017-02-10,16
2017-02-11,3
2017-02-12,3
2017-02-13,18
2017-02-14,20
2017-02-15,24
2017-02-16,24
2017-02-17,30
2017-02-18,7
2017-02-19,10
2017-02-20,12
2017-02-21,24
2017-02-22,15
2017-02-23,18
2017-02-24,25
2017-02-25,7
2017-02-26,7
2017-02-27,23
2017-02-28,14
2017-03-01,8
2017-03-02,31
2017-03-03,6
2017-03-04,27
2017-03-05,33
2017-03-06,45
2017-03-07,30
2017-03-08,9
2017-03-09,14
2017-03-10,12
2017-03-11,10
2017-03-12,26
2017-03-13,16
2017-03-14,15
2017-03-15,20
2017-03-16,12
2017-03-17,25
2017-03-18,3
2017-03-19,7
2017-03-20,21
2017-03-21,32
2017-03-22,26
2017-03-23,12
2017-03-24,33
2017-03-25,7
2017-03-26,3
2017-03-27,15
2017-03-28,18
2017-03-29,36
2017-03-30,24
2017-03-31,16
2017-04-01,3
2017-04-02,3
2017-04-03,23
2017-04-04,15
2017-04-05,29
2017-04-06,12
2017-04-07,18
2017-04-08,7
2017-04-09,17
2017-04-10,18
2017-04-11,33
2017-04-12,24
2017-04-13,13
2017-04-14,10
2017-04-15,7
2017-04-16,0
2017-04-17,33
2017-04-18,20
2017-04-19,14
2017-04-20,21
2017-04-21,31
2017-04-22,10
2017-04-23,10
2017-04-24,26
2017-04-25,15
2017-04-26,29
2017-04-27,26
2017-04-28,21
2017-04-29,14
2017-04-30,3
2017-05-01,6
2017-05-02,23
2017-05-03,26
2017-05-04,26
2017-05-05,12
2017-05-06,3
2017-05-07,13
2017-05-08,15
2017-05-09,18
2017-05-10,0
2017-05-11,18
2017-05-12,12
2017-05-13,3
2017-05-14,7
2017-05-15,16
2017-05-16,16
2017-05-17,19
2017-05-18,9
2017-05-19,20
2017-05-20,11
2017-05-21,4
2017-05-22,9
2017-05-23,21
2017-05-24,22
2017-05-25,6
2017-05-26,3
2017-05-27,4
2017-05-28,11
2017-05-29,3
2017-05-30,9
2017-05-31,9
2017-06-01,23
2017-06-02,13
2017-06-03,4
2017-06-04,4
2017-06-05,22
2017-06-06,9
2017-06-07,18
2017-06-08,3
2017-06-09,10
2017-06-10,4
2017-06-11,7
2017-06-12,15
2017-06-13,9
2017-06-14,15
2017-06-15,6
2017-06-16,3
2017-06-17,0
2017-06-18,4
2017-06-19,19
2017-06-20,3
2017-06-21,12
2017-06-22,3
2017-06-23,3
2017-06-24,7
2017-06-25,7
2017-06-26,10
2017-06-27,19
2017-06-28,6
2017-06-29,13
2017-06-30,10
2017-07-01,7
2017-07-02,11
2017-07-03,16
2017-07-04,7
2017-07-05,0
2017-07-06,6
2017-07-07,7
2017-07-08,7
2017-07-09,7
2017-07-10,6
2017-07-11,16
2017-07-12,16
2017-07-13,6
2017-07-14,7
2017-07-15,4
2017-07-16,7
2017-07-17,3
2017-07-18,9
2017-07-19,6
2017-07-20,6
2017-07-21,0
2017-07-22,4
2017-07-23,4
2017-07-24,3
2017-07-25,9
2017-07-26,6
2017-07-27,6
2017-07-28,7
2017-07-29,7
2017-07-30,7
2017-07-31,12
2017-08-01,6
2017-08-02,15
2017-08-03,9
2017-08-04,10
2017-08-05,4
2017-08-06,7
2017-08-07,6
2017-08-08,15
2017-08-09,9
2017-08-10,3
2017-08-11,6
2017-08-12,7
2017-08-13,4
2017-08-14,6
2017-08-15,3
2017-08-16,6
2017-08-17,12
2017-08-18,3
2017-08-19,7
2017-08-20,7
2017-08-21,18
2017-08-22,9
2017-08-23,9
2017-08-24,6
2017-08-25,7
2017-08-26,0
2017-08-27,3
2017-08-28,9
2017-08-29,6
2017-08-30,21
2017-08-31,12
2017-09-01,24
2017-09-02,9
2017-09-03,0
2017-09-04,23
2017-09-05,36
2017-09-06,43
2017-09-07,30
2017-09-08,23
2017-09-09,8
2017-09-10,17
2017-09-11,14
2017-09-12,29
2017-09-13,43
2017-09-14,29
2017-09-15,23
2017-09-16,25
2017-09-17,17
2017-09-18,44
2017-09-19,7
2017-09-20,44
2017-09-21,7
2017-09-22,15
2017-09-23,8
2017-09-24,17
2017-09-25,22
2017-09-26,36
2017-09-27,22
2017-09-28,15
2017-09-29,16
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,15
2017-10-04,15
2017-10-05,37
2017-10-06,38
2017-10-07,0
2017-10-08,25
2017-10-09,22
2017-10-10,100
2017-10-11,57
2017-10-12,59
2017-10-13,68
2017-10-14,17
2017-10-15,17
2017-10-16,7
2017-10-17,43
2017-10-18,29
2017-10-19,51
2017-10-20,23
2017-10-21,0
2017-10-22,24
2017-10-23,50
2017-10-24,49
2017-10-25,43
2017-10-26,44
2017-10-27,8
2017-10-28,8
2017-10-29,0
2017-10-30,35
2017-10-31,14
2017-11-01,37
2017-11-02,7
2017-11-03,29
2017-11-04,8
2017-11-05,32
2017-11-06,28
2017-11-07,28
2017-11-08,35
2017-11-09,35
2017-11-10,29
2017-11-11,24
2017-11-12,16
2017-11-13,14
2017-11-14,28
2017-11-15,7
2017-11-16,63
2017-11-17,22
2017-11-18,0
2017-11-19,0
2017-11-20,42
2017-11-21,28
2017-11-22,0
2017-11-23,7
2017-11-24,15
2017-11-25,8
2017-11-26,0
2017-11-27,48
2017-11-28,28
2017-11-29,35
2017-11-30,36
2017-12-01,22
2017-12-02,8
2017-12-03,16
2017-12-04,28
2017-12-05,42
2017-12-06,35
2017-12-07,14
2017-12-08,23
2017-12-09,8
2017-12-10,16
2017-12-11,21
2017-12-12,28
2017-12-13,56
2017-12-14,21
2017-12-15,37
2017-12-16,8
2017-12-17,0
2017-12-18,36
2017-12-19,22
2017-12-20,15
2017-12-21,31
2017-12-22,24
2017-12-23,9
2017-12-24,9
2017-12-25,9
2017-12-26,0
2017-12-27,15
2017-12-28,31
2017-12-29,16
2017-12-30,8
2017-12-31,9
2018-01-01,0
2018-01-02,7
2018-01-03,28
2018-01-04,14
2018-01-05,14
2018-01-06,16
2018-01-07,24
2018-01-08,7
2018-01-09,27
2018-01-10,14
2018-01-11,49
2018-01-12,14
2018-01-13,8
2018-01-14,16
2018-01-15,34
2018-01-16,27
2018-01-17,7
2018-01-18,27
2018-01-19,21
2018-01-20,0
2018-01-21,23
2018-01-22,13
2018-01-23,0
2018-01-24,34
2018-01-25,14
2018-01-26,29
2018-01-27,16
2018-01-28,8
2018-01-29,34
2018-01-30,34
2018-01-31,0
2018-02-01,14
2018-02-02,35
2018-02-03,16
2018-02-04,38
2018-02-05,20
2018-02-06,20
2018-02-07,14
2018-02-08,41
2018-02-09,14
2018-02-10,8
2018-02-11,8
2018-02-12,7
2018-02-13,76
2018-02-14,34
2018-02-15,21
2018-02-16,22
2018-02-17,16
2018-02-18,16
2018-02-19,7
2018-02-20,14
2018-02-21,14
2018-02-22,14
2018-02-23,28
2018-02-24,0
2018-02-25,23
2018-02-26,34
2018-02-27,20
2018-02-28,40
2018-03-01,20
2018-03-02,42
2018-03-03,31
2018-03-04,15
2018-03-05,20
2018-03-06,53
2018-03-07,27
2018-03-08,14
2018-03-09,36
2018-03-10,8
2018-03-11,8
2018-03-12,7
2018-03-13,40
2018-03-14,13
2018-03-15,34
2018-03-16,14
2018-03-17,0
2018-03-18,15
2018-03-19,34
2018-03-20,47
2018-03-21,54
2018-03-22,14
2018-03-23,21
2018-03-24,16
2018-03-25,8
2018-03-26,21
2018-03-27,48
2018-03-28,0
2018-03-29,73
2018-03-30,15
2018-03-31,16
2018-04-01,16
2018-04-02,43
2018-04-03,34
2018-04-04,48
2018-04-05,28
2018-04-06,43
2018-04-07,16
2018-04-08,31
2018-04-09,47
2018-04-10,40
2018-04-11,33
2018-04-12,96
2018-04-13,43
2018-04-14,16
2018-04-15,23
2018-04-16,27
2018-04-17,27
2018-04-18,21
2018-04-19,63
2018-04-20,36
2018-04-21,16
2018-04-22,8
2018-04-23,40
2018-04-24,33
2018-04-25,33
2018-04-26,41
2018-04-27,43
2018-04-28,0
2018-04-29,0
2018-04-30,14
2018-05-01,19
2018-05-02,72
2018-05-03,54
2018-05-04,19
2018-05-05,54
2018-05-06,11
2018-05-07,63
2018-05-08,100
2018-05-09,27
2018-05-10,37
2018-05-11,28
2018-05-12,21
2018-05-13,32
2018-05-14,27
2018-05-15,71
2018-05-16,9
2018-05-17,46
2018-05-18,9
2018-05-19,0
2018-05-20,21
2018-05-21,46
2018-05-22,45
2018-05-23,46
2018-05-24,46
2018-05-25,58
2018-05-26,21
2018-05-27,11
2018-05-28,0
2018-05-29,27
2018-05-30,37
2018-05-31,0
2018-06-01,19
2018-06-02,11
2018-06-03,21
2018-06-04,45
2018-06-05,18
2018-06-06,55
2018-06-07,64
2018-06-08,76
2018-06-09,11
2018-06-10,32
2018-06-11,26
2018-06-12,33
2018-06-13,17
2018-06-14,0
2018-06-15,19
2018-06-16,0
2018-06-17,0
2018-06-18,36
2018-06-19,18
2018-06-20,27
2018-06-21,36
2018-06-22,9
2018-06-23,0
2018-06-24,10
2018-06-25,53
2018-06-26,45
2018-06-27,54
2018-06-28,28
2018-06-29,10
2018-06-30,10
2018-07-01,21
2018-07-02,45
2018-07-03,27
2018-07-04,9
2018-07-05,9
2018-07-06,46
2018-07-07,0
2018-07-08,21
2018-07-09,27
2018-07-10,9
2018-07-11,25
2018-07-12,9
2018-07-13,10
2018-07-14,11
2018-07-15,0
2018-07-16,9
2018-07-17,9
2018-07-18,65
2018-07-19,19
2018-07-20,10
2018-07-21,43
2018-07-22,11
2018-07-23,37
2018-07-24,0
2018-07-25,9
2018-07-26,28
2018-07-27,9
2018-07-28,21
2018-07-29,11
2018-07-30,27
2018-07-31,36
2018-08-01,18
2018-08-02,26
2018-08-03,9
2018-08-04,21
2018-08-05,10
2018-08-06,27
2018-08-07,35
2018-08-08,27
2018-08-09,9
2018-08-10,0
2018-08-11,10
2018-08-12,0
2018-08-13,9
2018-08-14,9
2018-08-15,0
2018-08-16,18
2018-08-17,37
2018-08-18,21
2018-08-19,11
2018-08-20,9
2018-08-21,56
2018-08-22,19
2018-08-23,28
2018-08-24,9
2018-08-25,0
2018-08-26,21
2018-08-27,36
2018-08-28,27
2018-08-29,18
2018-08-30,9
2018-08-31,28
2018-09-01,20
2018-09-02,31
2018-09-03,18
2018-09-04,35
2018-09-05,18
2018-09-06,35
2018-09-07,37
2018-09-08,30
2018-09-09,20
2018-09-10,44
2018-09-11,18
2018-09-12,44
2018-09-13,36
2018-09-14,27
2018-09-15,0
2018-09-16,20
2018-09-17,18
2018-09-18,26
2018-09-19,18
2018-09-20,45
2018-09-21,27
2018-09-22,10
2018-09-23,0
2018-09-24,35
2018-09-25,26
2018-09-26,36
2018-09-27,9
2018-09-28,37
2018-09-29,0
2018-09-30,10
2018-10-01,18
2018-10-02,35
2018-10-03,62
2018-10-04,44
2018-10-05,56
2018-10-06,10
2018-10-07,10
2018-10-08,18
2018-10-09,43
2018-10-10,18
2018-10-11,46
2018-10-12,19
2018-10-13,11
2018-10-14,10
2018-10-15,64
2018-10-16,45
2018-10-17,45
2018-10-18,37
2018-10-19,9
2018-10-20,10
2018-10-21,20
2018-10-22,62
2018-10-23,53
2018-10-24,0
2018-10-25,45
2018-10-26,37
2018-10-27,40
2018-10-28,0
2018-10-29,35
2018-10-30,44
2018-10-31,28
2018-11-01,48
2018-11-02,47
2018-11-03,0
2018-11-04,30
2018-11-05,26
2018-11-06,35
2018-11-07,17
2018-11-08,26
2018-11-09,37
2018-11-10,21
2018-11-11,30
2018-11-12,0
2018-11-13,62
2018-11-14,18
2018-11-15,18
2018-11-16,37
2018-11-17,0
2018-11-18,10
2018-11-19,54
2018-11-20,36
2018-11-21,9
2018-11-22,19
2018-11-23,18
2018-11-24,10
2018-11-25,0
2018-11-26,9
2018-11-27,44
2018-11-28,9
2018-11-29,36
2018-11-30,18
2018-12-01,0
2018-12-02,10
2018-12-03,45
2018-12-04,27
2018-12-05,35
2018-12-06,45
2018-12-07,56
2018-12-08,0
2018-12-09,20
2018-12-10,9
2018-12-11,27
2018-12-12,46
2018-12-13,37
2018-12-14,28
2018-12-15,0
2018-12-16,0
2018-12-17,67
2018-12-18,26
2018-12-19,9
2018-12-20,48
2018-12-21,10
2018-12-22,11
2018-12-23,0
2018-12-24,11
2018-12-25,0
2018-12-26,10
2018-12-27,0
2018-12-28,30
2018-12-29,42
2018-12-30,11
2018-12-31,11
2019-01-01,0
2019-01-02,20
2019-01-03,9
2019-01-04,29
2019-01-05,0
2019-01-06,0
2019-01-07,9
2019-01-08,19
2019-01-09,19
2019-01-10,94
2019-01-11,29
2019-01-12,10
2019-01-13,31
2019-01-14,18
2019-01-15,37
2019-01-16,9
2019-01-17,37
2019-01-18,19
2019-01-19,0
2019-01-20,10
2019-01-21,0
2019-01-22,18
2019-01-23,18
2019-01-24,27
2019-01-25,38
2019-01-26,10
2019-01-27,10
2019-01-28,9
2019-01-29,27
2019-01-30,55
2019-01-31,27
2019-02-01,28
2019-02-02,0
2019-02-03,10
2019-02-04,36
2019-02-05,18
2019-02-06,45
2019-02-07,36
2019-02-08,28
2019-02-09,21
2019-02-10,41
2019-02-11,26
2019-02-12,36
2019-02-13,63
2019-02-14,73
2019-02-15,19
2019-02-16,31
2019-02-17,42
2019-02-18,0
2019-02-19,36
2019-02-20,18
2019-02-21,45
2019-02-22,28
2019-02-23,41
2019-02-24,21
2019-02-25,35
2019-02-26,54
2019-02-27,44
2019-02-28,100
2019-03-01,9
2019-03-02,10
2019-03-03,31
2019-03-04,56
2019-03-05,18
2019-03-06,45
2019-03-07,19
2019-03-08,29
2019-03-09,21
2019-03-10,10
2019-03-11,37
2019-03-12,27
2019-03-13,62
2019-03-14,46
2019-03-15,37
2019-03-16,0
2019-03-17,0
2019-03-18,28
2019-03-19,35
2019-03-20,38
2019-03-21,38
2019-03-22,29
2019-03-23,0
2019-03-24,10
2019-03-25,65
2019-03-26,84
2019-03-27,38
2019-03-28,46
2019-03-29,20
2019-03-30,11
2019-03-31,0
2019-04-01,18
2019-04-02,65
